dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-23,1,1,0,0,0,0
2020-03-31,0,1,1,1,0,0
2020-04-02,3,4,0,1,0,0
2020-04-04,13,17,0,1,0,0
2020-04-06,9,26,0,1,0,0
2020-04-08,2,28,0,1,0,0
2020-04-11,1,29,0,1,0,0
2020-04-16,1,30,3,4,0,0
2020-04-17,0,30,7,11,0,0
2020-04-18,4,34,6,17,0,0
2020-04-20,0,34,6,23,0,0
2020-04-21,0,34,2,25,0,0
2020-04-22,0,34,1,26,0,0
2020-04-23,0,34,1,27,0,0
2020-04-25,0,34,2,29,0,0
2020-04-28,0,34,3,32,0,0
2020-05-03,2,36,0,32,0,0
2020-05-10,1,37,1,33,0,0
2020-05-13,0,37,1,34,0,0
2020-05-14,0,37,1,35,0,0
2020-05-16,2,39,0,35,0,0
2020-05-17,0,39,1,36,0,0
2020-05-19,1,40,0,36,0,0
2020-05-22,0,40,1,37,0,0
2020-05-23,1,41,0,37,0,0
2020-05-26,2,43,2,39,0,0
2020-05-27,8,51,0,39,0,0
2020-05-29,7,58,2,41,0,0
2020-05-31,1,59,0,41,0,0
2020-06-01,11,70,3,44,0,0
2020-06-02,9,79,0,44,0,0
2020-06-04,7,86,4,48,0,0
2020-06-05,14,100,0,48,0,0
2020-06-06,19,119,0,48,0,0
2020-06-07,5,124,6,54,0,0
2020-06-08,5,129,0,54,0,0
2020-06-09,13,142,0,54,0,0
2020-06-10,0,142,3,57,0,0
2020-06-11,10,152,0,57,0,0
2020-06-12,28,180,13,70,1,1
2020-06-13,5,185,9,79,0,1
2020-06-14,13,198,26,105,0,1
2020-06-16,6,204,2,107,0,1
2020-06-17,16,220,0,107,0,1
2020-06-18,12,232,18,125,0,1
2020-06-19,17,249,17,142,0,1
2020-06-20,10,259,0,142,0,1
2020-06-21,4,263,13,155,1,2
2020-06-23,0,263,23,178,0,2
2020-06-24,17,280,12,190,0,2
2020-06-25,10,290,13,203,0,2
2020-06-26,8,298,8,211,0,2
2020-06-28,11,309,11,222,0,2
2020-06-29,2,311,2,224,0,2
2020-06-30,7,318,10,234,1,3
2020-07-01,10,328,3,237,0,3
2020-07-02,4,332,8,245,0,3
2020-07-03,7,339,7,252,0,3
2020-07-04,8,347,0,252,0,3
2020-07-05,5,352,5,257,0,3
2020-07-06,12,364,6,263,0,3
2020-07-07,15,379,10,273,0,3
2020-07-08,7,386,12,285,0,3
2020-07-09,24,410,18,303,1,4
2020-07-10,15,425,28,331,0,4
