dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-20,1,1,0,0,0,0
2020-03-24,1,2,0,0,0,0
2020-03-26,1,3,0,0,0,0
2020-03-27,1,4,0,0,0,0
2020-03-31,0,4,2,2,0,0
2020-04-08,0,4,1,3,0,0
2020-04-15,1,5,0,3,0,0
2020-04-23,0,5,1,4,0,0
2020-04-24,2,7,0,4,0,0
2020-04-25,1,8,0,4,0,0
2020-04-26,4,12,0,4,0,0
2020-04-28,1,13,0,4,0,0
2020-05-03,11,24,0,4,0,0
2020-05-04,3,27,0,4,0,0
2020-05-05,1,28,0,4,0,0
2020-05-06,5,33,0,4,1,1
2020-05-07,1,34,0,4,0,1
2020-05-08,1,35,1,5,1,2
2020-05-09,1,36,0,5,1,3
2020-05-10,0,36,2,7,0,3
2020-05-13,0,36,14,21,0,3
2020-05-14,0,36,2,23,0,3
2020-05-16,0,36,6,29,0,3
2020-05-17,2,38,0,29,0,3
2020-05-19,2,40,1,30,0,3
2020-05-21,6,46,0,30,0,3
2020-05-22,0,46,1,31,0,3
2020-05-23,7,53,0,31,0,3
2020-05-24,1,54,0,31,0,3
2020-05-25,0,54,1,32,0,3
2020-05-26,5,59,0,32,0,3
2020-05-28,1,60,3,35,0,3
2020-05-30,1,61,1,36,0,3
2020-05-31,1,62,0,36,0,3
2020-06-01,0,62,2,38,0,3
2020-06-02,2,64,7,45,0,3
2020-06-03,1,65,0,45,0,3
2020-06-04,1,66,5,50,0,3
2020-06-05,1,67,0,50,0,3
2020-06-06,5,72,0,50,0,3
2020-06-07,11,83,0,50,1,4
2020-06-08,2,85,5,55,0,4
2020-06-09,1,86,1,56,0,4
2020-06-11,1,87,3,59,0,4
2020-06-12,2,89,1,60,0,4
2020-06-13,4,93,0,60,0,4
2020-06-14,1,94,4,64,1,5
2020-06-15,3,97,5,69,0,5
2020-06-16,8,105,0,69,0,5
2020-06-17,4,109,0,69,0,5
2020-06-18,2,111,7,76,0,5
2020-06-19,7,118,1,77,0,5
2020-06-20,0,118,4,81,0,5
2020-06-21,16,134,7,88,1,6
2020-06-23,3,137,9,97,0,6
2020-06-25,15,152,9,106,1,7
2020-06-27,14,166,0,106,0,7
2020-06-28,5,171,0,106,0,7
2020-06-29,18,189,2,108,0,7
2020-06-30,5,194,2,110,0,7
2020-07-01,6,200,9,119,0,7
2020-07-02,6,206,3,122,0,7
2020-07-03,14,220,10,132,0,7
2020-07-04,5,225,1,133,0,7
2020-07-05,19,244,8,141,0,7
2020-07-06,2,246,5,146,0,7
2020-07-07,21,267,8,154,0,7
2020-07-08,21,288,3,157,0,7
2020-07-09,21,309,7,164,0,7
2020-07-10,38,347,6,170,0,7
