dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-09,3,3,0,0,0,0
2020-05-12,1,4,0,0,0,0
2020-05-13,1,5,0,0,0,0
2020-05-14,1,6,0,0,0,0
2020-05-16,3,9,0,0,0,0
2020-05-22,2,11,0,0,0,0
2020-05-24,5,16,1,1,0,0
2020-05-26,2,18,0,1,0,0
2020-05-27,0,18,3,4,0,0
2020-05-29,5,23,0,4,0,0
2020-06-04,11,34,8,12,0,0
2020-06-05,11,45,0,12,0,0
2020-06-07,3,48,0,12,0,0
2020-06-08,0,48,0,12,1,1
2020-06-09,15,63,0,12,-1,0
2020-06-10,2,65,0,12,0,0
2020-06-11,8,73,0,12,0,0
2020-06-13,3,76,0,12,0,0
2020-06-15,18,94,0,12,0,0
2020-06-16,21,115,0,12,0,0
2020-06-17,8,123,0,12,0,0
2020-06-18,23,146,0,12,0,0
2020-06-19,2,148,0,12,0,0
2020-06-22,22,170,34,46,1,1
2020-06-24,48,218,36,82,3,4
2020-06-25,3,221,0,82,0,4
2020-06-27,14,235,0,82,1,5
2020-06-28,27,262,0,82,0,5
2020-06-29,31,293,7,89,0,5
2020-06-30,3,296,7,96,0,5
2020-07-02,18,314,0,96,0,5
2020-07-03,38,352,18,114,0,5
2020-07-05,34,386,0,114,0,5
2020-07-06,0,386,27,141,0,5
2020-07-07,10,396,0,141,0,5
2020-07-08,81,477,47,188,0,5
2020-07-10,66,543,0,188,0,5
