dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-02,1,1,0,0,0,0
2020-04-23,2,3,0,0,0,0
2020-04-24,1,4,0,0,0,0
2020-05-01,0,4,2,2,0,0
2020-05-10,1,5,0,2,0,0
2020-05-13,2,7,0,2,0,0
2020-05-15,1,8,0,2,0,0
2020-05-17,4,12,0,2,0,0
2020-05-18,0,12,2,4,0,0
2020-05-19,1,13,0,4,0,0
2020-05-21,1,14,3,7,0,0
2020-05-22,1,15,0,7,0,0
2020-05-23,0,15,2,9,0,0
2020-05-24,1,16,0,9,0,0
2020-05-25,0,16,1,10,0,0
2020-05-26,0,16,1,11,0,0
2020-05-27,3,19,0,11,0,0
2020-05-28,5,24,0,11,0,0
2020-05-29,6,30,0,11,0,0
2020-05-30,1,31,0,11,0,0
2020-06-01,14,45,0,11,0,0
2020-06-02,45,90,0,11,0,0
2020-06-03,7,97,0,11,0,0
2020-06-04,13,110,0,11,0,0
2020-06-05,4,114,0,11,0,0
2020-06-06,23,137,4,15,0,0
2020-06-07,25,162,41,56,0,0
2020-06-08,15,177,26,82,1,1
2020-06-09,28,205,0,82,1,2
2020-06-10,23,228,2,84,0,2
2020-06-11,29,257,0,84,1,3
2020-06-13,30,287,44,128,0,3
2020-06-14,13,300,0,128,2,5
2020-06-15,21,321,0,128,0,5
2020-06-16,25,346,10,138,0,5
2020-06-18,32,378,31,169,0,5
2020-06-19,20,398,0,169,0,5
2020-06-20,23,421,27,196,0,5
2020-06-21,6,427,3,199,0,5
2020-06-22,31,458,17,216,0,5
2020-06-23,1,459,163,379,1,6
2020-06-24,22,481,26,405,0,6
2020-06-25,7,488,0,405,0,6
2020-06-26,15,503,0,405,0,6
2020-06-27,24,527,61,466,0,6
2020-06-28,14,541,0,466,0,6
2020-06-29,4,545,0,466,0,6
2020-06-30,28,573,0,466,0,6
2020-07-01,22,595,67,533,0,6
2020-07-02,31,626,0,533,1,7
2020-07-03,15,641,0,533,0,7
2020-07-04,15,656,0,533,0,7
2020-07-06,104,760,0,533,4,11
2020-07-07,12,772,0,533,0,11
2020-07-08,57,829,0,533,0,11
2020-07-09,46,875,0,533,0,11
2020-07-10,24,899,0,533,1,12
