dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-21,1,1,0,0,0,0
2020-04-08,1,2,0,0,0,0
2020-04-10,1,3,0,0,0,0
2020-04-15,1,4,0,0,0,0
2020-04-18,3,7,0,0,0,0
2020-04-20,0,7,1,1,0,0
2020-04-21,2,9,0,1,0,0
2020-04-22,4,13,0,1,0,0
2020-04-24,0,13,2,3,0,0
2020-04-25,6,19,0,3,0,0
2020-04-26,1,20,0,3,0,0
2020-04-27,2,22,-7,-4,0,0
2020-04-28,2,24,0,-4,0,0
2020-04-29,1,25,0,-4,0,0
2020-05-01,1,26,0,-4,0,0
2020-05-03,18,44,2,-2,0,0
2020-05-04,29,73,0,-2,0,0
2020-05-05,5,78,0,-2,0,0
2020-05-06,3,81,0,-2,0,0
2020-05-07,3,84,0,-2,0,0
2020-05-08,2,86,3,1,0,0
2020-05-09,3,89,0,1,0,0
2020-05-10,11,100,5,6,0,0
2020-05-11,5,105,10,16,0,0
2020-05-12,15,120,0,16,0,0
2020-05-13,0,120,30,46,0,0
2020-05-14,0,120,10,56,0,0
2020-05-15,12,132,5,61,1,1
2020-05-16,2,134,6,67,0,1
2020-05-18,3,137,18,85,0,1
2020-05-19,2,139,7,92,0,1
2020-05-20,9,148,0,92,0,1
2020-05-21,2,150,8,100,0,1
2020-05-22,1,151,4,104,0,1
2020-05-23,3,154,11,115,0,1
2020-05-24,5,159,0,115,0,1
2020-05-25,4,163,8,123,0,1
2020-05-27,11,174,0,123,0,1
2020-05-28,6,180,15,138,0,1
2020-05-29,19,199,3,141,0,1
2020-05-30,0,199,4,145,0,1
2020-05-31,0,199,2,147,0,1
2020-06-01,13,212,0,147,0,1
2020-06-02,21,233,0,147,0,1
2020-06-03,28,261,10,157,0,1
2020-06-06,89,350,6,163,0,1
2020-06-07,73,423,0,163,0,1
2020-06-08,13,436,0,163,2,3
2020-06-09,38,474,22,185,1,4
2020-06-10,28,502,22,207,2,6
2020-06-11,0,502,10,217,0,6
2020-06-12,31,533,0,217,0,6
2020-06-13,3,536,45,262,0,6
2020-06-15,63,599,0,262,0,6
2020-06-16,32,631,0,262,1,7
2020-06-17,37,668,0,262,2,9
2020-06-18,51,719,155,417,0,9
2020-06-19,36,755,0,417,1,10
2020-06-20,71,826,6,423,0,10
2020-06-21,40,866,32,455,0,10
2020-06-22,0,866,30,485,0,10
2020-06-23,59,925,29,514,1,11
2020-06-24,29,954,59,573,0,11
2020-06-25,105,1059,0,573,4,15
2020-06-26,35,1094,91,664,0,15
2020-06-27,63,1157,35,699,1,16
2020-06-28,38,1195,0,699,2,18
2020-06-29,13,1208,51,750,0,18
2020-06-30,0,1208,22,772,0,18
2020-07-01,0,1208,44,816,0,18
2020-07-02,131,1339,27,843,0,18
2020-07-03,46,1385,16,859,0,18
2020-07-04,81,1466,111,970,0,18
2020-07-05,0,1466,33,1003,0,18
2020-07-06,82,1548,21,1024,2,20
2020-07-07,29,1577,0,1024,0,20
2020-07-08,66,1643,89,1113,0,20
2020-07-09,85,1728,0,1113,0,20
2020-07-10,50,1778,44,1157,0,20
