dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,4,4,0,0,0,0
2020-04-12,0,4,3,3,0,0
2020-04-15,2,6,0,3,0,0
2020-04-30,0,6,1,4,0,0
2020-05-02,0,6,1,5,0,0
2020-05-07,2,8,0,5,0,0
2020-05-08,1,9,0,5,0,0
2020-05-10,3,12,0,5,0,0
2020-05-16,0,12,2,7,0,0
2020-05-18,1,13,0,7,0,0
2020-05-20,0,13,2,9,0,0
2020-05-21,0,13,1,10,0,0
2020-05-24,1,14,0,10,0,0
2020-05-25,4,18,0,10,0,0
2020-05-26,2,20,0,10,0,0
2020-06-01,4,24,0,10,0,0
2020-06-03,1,25,2,12,0,0
2020-06-04,3,28,0,12,0,0
2020-06-05,1,29,0,12,0,0
2020-06-06,1,30,2,14,0,0
2020-06-07,2,32,3,17,0,0
2020-06-10,0,32,2,19,0,0
2020-06-11,2,34,3,22,0,0
2020-06-12,1,35,2,24,0,0
2020-06-13,0,35,2,26,0,0
2020-06-14,1,36,0,26,0,0
2020-06-15,3,39,1,27,0,0
2020-06-17,3,42,3,30,0,0
2020-06-18,1,43,0,30,0,0
2020-06-19,0,43,3,33,0,0
2020-06-21,1,44,1,34,0,0
2020-06-23,2,46,0,34,0,0
2020-06-24,4,50,0,34,0,0
2020-06-25,0,50,2,36,0,0
2020-06-26,1,51,1,37,0,0
2020-06-27,0,51,2,39,0,0
2020-06-28,0,51,1,40,0,0
2020-06-29,1,52,0,40,0,0
2020-06-30,0,52,3,43,0,0
2020-07-01,0,52,1,44,0,0
2020-07-03,2,54,1,45,0,0
2020-07-06,4,58,1,46,0,0
2020-07-10,1,59,0,46,0,0
