dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-04,1,1,0,0,0,0
2020-05-05,1,2,0,0,1,1
2020-05-16,0,2,1,1,0,1
2020-05-20,4,6,0,1,0,1
2020-05-23,4,10,0,1,0,1
2020-05-24,1,11,0,1,0,1
2020-05-27,0,11,0,1,1,2
2020-05-28,1,12,0,1,0,2
2020-05-30,0,12,3,4,0,2
2020-06-01,1,13,0,4,0,2
2020-06-02,2,15,4,8,0,2
2020-06-03,2,17,0,8,0,2
2020-06-04,3,20,0,8,0,2
2020-06-05,0,20,1,9,0,2
2020-06-07,1,21,0,9,0,2
2020-06-09,1,22,0,9,0,2
2020-06-10,0,22,1,10,0,2
2020-06-11,0,22,2,12,0,2
2020-06-12,0,22,1,13,0,2
2020-06-13,0,22,2,15,0,2
2020-06-14,0,22,2,17,0,2
2020-06-16,1,23,1,18,0,2
2020-06-17,0,23,1,19,0,2
2020-06-22,1,24,1,20,0,2
2020-06-24,0,24,1,21,0,2
2020-06-26,1,25,0,21,0,2
2020-06-27,2,27,0,21,0,2
2020-06-28,1,28,0,21,0,2
2020-06-29,2,30,0,21,0,2
2020-07-01,2,32,1,22,0,2
2020-07-02,1,33,0,22,0,2
2020-07-03,1,34,0,22,0,2
2020-07-04,0,34,1,23,0,2
2020-07-05,1,35,1,24,0,2
2020-07-06,1,36,1,25,0,2
2020-07-07,0,36,1,26,0,2
2020-07-08,1,37,0,26,0,2
2020-07-09,1,38,0,26,0,2
2020-07-10,0,38,2,28,0,2
