dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-07,1,1,0,0,0,0
2020-05-16,0,1,1,1,0,0
2020-05-23,1,2,0,1,0,0
2020-05-25,4,6,0,1,0,0
2020-05-26,3,9,0,1,0,0
2020-05-27,0,9,0,1,1,1
2020-06-03,1,10,0,1,0,1
2020-06-04,1,11,7,8,0,1
2020-06-05,1,12,0,8,0,1
2020-06-07,1,13,0,8,0,1
2020-06-10,1,14,0,8,1,2
2020-06-11,1,15,1,9,0,2
2020-06-13,4,19,0,9,0,2
2020-06-14,2,21,0,9,0,2
2020-06-15,1,22,2,11,0,2
2020-06-18,4,26,0,11,0,2
2020-06-20,4,30,2,13,0,2
2020-06-22,3,33,0,13,0,2
2020-06-23,3,36,0,13,0,2
2020-06-24,1,37,3,16,0,2
2020-06-25,2,39,0,16,0,2
2020-06-26,0,39,1,17,0,2
2020-06-28,1,40,0,17,0,2
2020-06-30,0,40,4,21,0,2
2020-07-01,1,41,1,22,0,2
2020-07-02,6,47,1,23,0,2
2020-07-03,0,47,4,27,0,2
2020-07-04,0,47,5,32,0,2
2020-07-07,2,49,5,37,0,2
2020-07-09,3,52,0,37,0,2
2020-07-10,3,55,0,37,0,2
