dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,0,0,0,0,1,1
2020-04-04,6,6,0,0,0,1
2020-04-05,1,7,0,0,0,1
2020-04-11,2,9,0,0,0,1
2020-04-30,0,9,2,2,0,1
2020-05-21,5,14,0,2,0,1
2020-05-23,5,19,0,2,0,1
2020-05-24,1,20,0,2,0,1
2020-05-28,3,23,0,2,0,1
2020-05-30,3,26,1,3,0,1
2020-05-31,4,30,2,5,0,1
2020-06-01,2,32,2,7,0,1
2020-06-04,0,32,1,8,0,1
2020-06-07,0,32,1,9,0,1
2020-06-08,2,34,2,11,0,1
2020-06-10,1,35,3,14,0,1
2020-06-11,2,37,8,22,0,1
2020-06-12,1,38,0,22,0,1
2020-06-13,1,39,0,22,0,1
2020-06-14,1,40,0,22,-1,0
2020-06-15,19,59,1,23,0,0
2020-06-16,0,59,1,24,0,0
2020-06-17,2,61,0,24,0,0
2020-06-18,2,63,0,24,0,0
2020-06-19,8,71,3,27,0,0
2020-06-20,3,74,0,27,0,0
2020-06-21,3,77,0,27,0,0
2020-06-22,4,81,0,27,0,0
2020-06-24,3,84,11,38,0,0
2020-06-25,7,91,1,39,0,0
2020-06-26,1,92,1,40,0,0
2020-06-27,3,95,1,41,0,0
2020-06-28,3,98,5,46,0,0
2020-06-29,10,108,2,48,0,0
2020-06-30,1,109,4,52,0,0
2020-07-01,1,110,1,53,0,0
2020-07-02,0,110,3,56,0,0
2020-07-03,1,111,2,58,0,0
2020-07-04,3,114,5,63,0,0
2020-07-05,2,116,8,71,0,0
2020-07-06,3,119,0,71,0,0
2020-07-07,1,120,2,73,0,0
2020-07-08,6,126,15,88,0,0
2020-07-09,33,159,5,93,0,0
2020-07-10,16,175,1,94,0,0
