dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-18,1,1,0,0,0,0
2020-05-25,1,2,0,0,0,0
2020-05-28,0,2,1,1,0,0
2020-05-30,3,5,0,1,0,0
2020-06-01,21,26,0,1,1,1
2020-06-02,1,27,0,1,0,1
2020-06-04,3,30,0,1,0,1
2020-06-05,5,35,0,1,0,1
2020-06-06,1,36,0,1,0,1
2020-06-07,5,41,0,1,0,1
2020-06-08,1,42,1,2,0,1
2020-06-10,1,43,0,2,0,1
2020-06-11,3,46,0,2,0,1
2020-06-12,3,49,18,20,0,1
2020-06-13,8,57,2,22,0,1
2020-06-14,6,63,1,23,0,1
2020-06-15,0,63,1,24,0,1
2020-06-16,0,63,5,29,0,1
2020-06-17,0,63,1,30,0,1
2020-06-18,0,63,9,39,0,1
2020-06-20,4,67,0,39,0,1
2020-06-21,0,67,2,41,0,1
2020-06-22,1,68,8,49,0,1
2020-06-23,2,70,2,51,0,1
2020-06-24,1,71,3,54,0,1
2020-06-25,1,72,0,54,0,1
2020-06-28,2,74,3,57,0,1
2020-06-29,3,77,0,57,0,1
2020-06-30,0,77,1,58,0,1
2020-07-01,3,80,1,59,0,1
2020-07-02,6,86,0,59,1,2
2020-07-03,3,89,1,60,0,2
2020-07-04,1,90,0,60,0,2
2020-07-05,3,93,0,60,0,2
2020-07-07,13,106,1,61,0,2
2020-07-08,14,120,1,62,0,2
2020-07-09,3,123,2,64,0,2
2020-07-10,1,124,4,68,0,2
