dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-21,1,1,0,0,0,0
2020-05-08,0,1,1,1,0,0
2020-05-09,1,2,0,1,0,0
2020-05-10,1,3,0,1,0,0
2020-05-11,3,6,0,1,0,0
2020-05-12,7,13,0,1,0,0
2020-05-13,4,17,0,1,0,0
2020-05-15,4,21,0,1,0,0
2020-05-16,10,31,0,1,0,0
2020-05-17,1,32,0,1,0,0
2020-05-18,2,34,0,1,0,0
2020-05-19,2,36,0,1,0,0
2020-05-20,1,37,0,1,0,0
2020-05-21,3,40,3,4,0,0
2020-05-23,1,41,2,6,0,0
2020-05-24,4,45,0,6,0,0
2020-05-25,4,49,0,6,0,0
2020-05-26,4,53,9,15,0,0
2020-05-27,3,56,1,16,0,0
2020-05-28,3,59,0,16,0,0
2020-05-29,6,65,3,19,0,0
2020-05-30,6,71,0,19,0,0
2020-05-31,3,74,1,20,0,0
2020-06-01,5,79,5,25,0,0
2020-06-02,2,81,2,27,0,0
2020-06-03,-1,80,0,27,0,0
2020-06-04,3,83,1,28,0,0
2020-06-05,11,94,4,32,0,0
2020-06-06,11,105,4,36,0,0
2020-06-07,2,107,2,38,0,0
2020-06-08,11,118,2,40,0,0
2020-06-09,3,121,5,45,0,0
2020-06-10,2,123,4,49,0,0
2020-06-12,26,149,10,59,0,0
2020-06-13,6,155,10,69,0,0
2020-06-14,4,159,2,71,0,0
2020-06-15,1,160,5,76,0,0
2020-06-16,2,162,0,76,0,0
2020-06-17,1,163,5,81,0,0
2020-06-18,12,175,12,93,0,0
2020-06-19,7,182,4,97,0,0
2020-06-20,7,189,5,102,0,0
2020-06-21,5,194,4,106,0,0
2020-06-22,2,196,6,112,0,0
2020-06-23,5,201,3,115,0,0
2020-06-24,2,203,2,117,0,0
2020-06-25,3,206,2,119,0,0
2020-06-26,5,211,9,128,0,0
2020-06-27,0,211,24,152,0,0
2020-06-28,3,214,0,152,0,0
2020-06-29,13,227,4,156,0,0
2020-06-30,5,232,4,160,1,1
2020-07-01,0,232,1,161,0,1
2020-07-02,0,232,4,165,0,1
2020-07-03,10,242,12,177,0,1
2020-07-05,7,249,11,188,0,1
2020-07-06,5,254,2,190,0,1
2020-07-07,6,260,5,195,0,1
2020-07-08,1,261,5,200,0,1
2020-07-09,4,265,1,201,0,1
2020-07-10,7,272,5,206,0,1
