dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-10,1,1,0,0,0,0
2020-05-18,1,2,0,0,0,0
2020-05-20,3,5,0,0,0,0
2020-05-21,1,6,0,0,0,0
2020-05-23,1,7,0,0,0,0
2020-06-01,4,11,0,0,0,0
2020-06-02,0,11,2,2,0,0
2020-06-03,1,12,0,2,0,0
2020-06-04,5,17,0,2,0,0
2020-06-05,0,17,1,3,0,0
2020-06-09,4,21,0,3,0,0
2020-06-10,0,21,2,5,0,0
2020-06-12,1,22,0,5,0,0
2020-06-15,1,23,3,8,0,0
2020-06-16,0,23,1,9,0,0
2020-06-19,0,23,-2,7,0,0
2020-06-20,1,24,0,7,0,0
2020-06-21,1,25,2,9,0,0
2020-06-22,0,25,5,14,0,0
2020-06-25,0,25,1,15,0,0
2020-06-27,2,27,4,19,0,0
2020-06-30,0,27,1,20,0,0
2020-07-03,2,29,0,20,0,0
2020-07-07,10,39,2,22,0,0
2020-07-08,1,40,2,24,0,0
2020-07-09,4,44,0,24,0,0
