dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-17,1,1,0,0,0,0
2020-05-18,2,3,0,0,0,0
2020-05-20,1,4,0,0,0,0
2020-05-22,1,5,0,0,0,0
2020-05-23,1,6,0,0,0,0
2020-05-25,2,8,0,0,0,0
2020-05-26,4,12,0,0,0,0
2020-05-27,11,23,0,0,0,0
2020-05-28,1,24,0,0,0,0
2020-05-29,14,38,0,0,0,0
2020-06-01,2,40,0,0,0,0
2020-06-02,9,49,0,0,0,0
2020-06-03,10,59,1,1,0,0
2020-06-04,4,63,1,2,0,0
2020-06-05,2,65,0,2,0,0
2020-06-06,3,68,1,3,0,0
2020-06-07,1,69,0,3,0,0
2020-06-08,4,73,1,4,0,0
2020-06-09,0,73,1,5,0,0
2020-06-10,12,85,4,9,0,0
2020-06-11,6,91,19,28,0,0
2020-06-12,12,103,0,28,0,0
2020-06-13,1,104,2,30,0,0
2020-06-15,0,104,3,33,0,0
2020-06-16,1,105,11,44,0,0
2020-06-17,0,105,5,49,0,0
2020-06-18,2,107,0,49,0,0
2020-06-19,1,108,1,50,0,0
2020-06-20,0,108,7,57,0,0
2020-06-21,2,110,11,68,0,0
2020-06-22,5,115,11,79,0,0
2020-06-23,0,115,6,85,0,0
2020-06-24,2,117,2,87,0,0
2020-06-25,1,118,4,91,1,1
2020-06-26,2,120,2,93,0,1
2020-06-27,0,120,3,96,0,1
2020-06-28,1,121,3,99,0,1
2020-06-29,2,123,0,99,0,1
2020-06-30,0,123,3,102,0,1
2020-07-02,0,123,8,110,0,1
2020-07-03,0,123,1,111,0,1
2020-07-04,1,124,2,113,0,1
2020-07-06,1,125,1,114,0,1
2020-07-07,7,132,1,115,0,1
2020-07-09,5,137,0,115,0,1
2020-07-10,2,139,2,117,0,1
