dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-26,1,1,0,0,0,0
2020-03-27,2,3,0,0,0,0
2020-04-19,1,4,0,0,0,0
2020-05-09,0,4,1,1,0,0
2020-05-15,1,5,0,1,0,0
2020-05-18,2,7,0,1,0,0
2020-05-19,1,8,0,1,0,0
2020-05-22,2,10,0,1,0,0
2020-05-24,3,13,0,1,0,0
2020-05-27,2,15,0,1,0,0
2020-05-29,6,21,1,2,0,0
2020-05-30,6,27,0,2,0,0
2020-05-31,3,30,0,2,0,0
2020-06-01,3,33,0,2,0,0
2020-06-02,3,36,0,2,0,0
2020-06-03,4,40,0,2,0,0
2020-06-04,6,46,0,2,0,0
2020-06-05,2,48,0,2,0,0
2020-06-06,4,52,0,2,0,0
2020-06-07,4,56,1,3,0,0
2020-06-08,1,57,7,10,0,0
2020-06-11,1,58,0,10,0,0
2020-06-12,2,60,0,10,1,1
2020-06-13,5,65,0,10,0,1
2020-06-14,1,66,0,10,0,1
2020-06-15,0,66,-1,9,0,1
2020-06-16,3,69,0,9,0,1
2020-06-17,3,72,2,11,0,1
2020-06-19,1,73,0,11,0,1
2020-06-20,1,74,21,32,0,1
2020-06-21,8,82,0,32,0,1
2020-06-22,1,83,0,32,0,1
2020-06-24,8,91,2,34,0,1
2020-06-25,3,94,0,34,0,1
2020-06-26,7,101,0,34,0,1
2020-06-27,3,104,16,50,0,1
2020-06-29,7,111,7,57,0,1
2020-06-30,2,113,0,57,0,1
2020-07-01,2,115,0,57,0,1
2020-07-03,3,118,5,62,0,1
2020-07-04,4,122,3,65,0,1
2020-07-05,2,124,0,65,0,1
2020-07-06,4,128,1,66,0,1
2020-07-07,20,148,2,68,0,1
2020-07-08,23,171,0,68,0,1
2020-07-09,18,189,15,83,0,1
2020-07-10,51,240,2,85,0,1
