dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-23,1,1,0,0,0,0
2020-05-13,0,1,1,1,0,0
2020-05-14,3,4,0,1,0,0
2020-05-15,2,6,0,1,0,0
2020-05-16,12,18,0,1,0,0
2020-05-17,5,23,0,1,0,0
2020-05-18,1,24,0,1,0,0
2020-05-20,3,27,0,1,0,0
2020-05-21,3,30,0,1,0,0
2020-05-23,14,44,0,1,0,0
2020-05-25,1,45,0,1,0,0
2020-05-26,29,74,1,2,0,0
2020-05-27,1,75,1,3,0,0
2020-05-30,14,89,12,15,0,0
2020-05-31,2,91,0,15,0,0
2020-06-01,53,144,1,16,0,0
2020-06-02,9,153,0,16,0,0
2020-06-05,11,164,0,16,0,0
2020-06-06,4,168,4,20,0,0
2020-06-08,0,168,1,21,0,0
2020-06-09,2,170,1,22,0,0
2020-06-10,2,172,1,23,0,0
2020-06-12,21,193,14,37,0,0
2020-06-13,2,195,18,55,0,0
2020-06-15,4,199,2,57,0,0
2020-06-16,0,199,26,83,0,0
2020-06-17,2,201,1,84,0,0
2020-06-18,0,201,32,116,0,0
2020-06-20,6,207,0,116,0,0
2020-06-21,1,208,18,134,0,0
2020-06-23,5,213,0,134,0,0
2020-06-25,0,213,17,151,0,0
2020-06-26,0,213,3,154,0,0
2020-06-27,2,215,0,154,0,0
2020-06-28,1,216,0,154,0,0
2020-06-29,1,217,28,182,0,0
2020-06-30,5,222,1,183,0,0
2020-07-02,1,223,4,187,0,0
2020-07-03,3,226,0,187,0,0
2020-07-05,10,236,0,187,0,0
2020-07-06,3,239,0,187,0,0
2020-07-07,2,241,0,187,0,0
2020-07-08,2,243,17,204,0,0
2020-07-09,0,243,2,206,0,0
2020-07-10,11,254,0,206,0,0
