dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-30,2,2,0,0,0,0
2020-04-08,2,4,0,0,0,0
2020-04-09,10,14,0,0,0,0
2020-04-17,3,17,0,0,0,0
2020-04-18,5,22,0,0,0,0
2020-04-21,10,32,0,0,0,0
2020-04-22,14,46,4,4,0,0
2020-04-23,9,55,0,4,0,0
2020-04-24,5,60,5,9,0,0
2020-04-25,3,63,0,9,0,0
2020-04-27,5,68,2,11,0,0
2020-04-28,3,71,0,11,0,0
2020-04-30,1,72,0,11,0,0
2020-05-01,2,74,4,15,0,0
2020-05-02,3,77,2,17,0,0
2020-05-03,4,81,0,17,0,0
2020-05-04,2,83,0,17,0,0
2020-05-05,6,89,6,23,0,0
2020-05-06,5,94,0,23,0,0
2020-05-07,4,98,9,32,0,0
2020-05-08,0,98,13,45,0,0
2020-05-09,2,100,0,45,0,0
2020-05-10,3,103,4,49,0,0
2020-05-12,1,104,9,58,0,0
2020-05-13,1,105,0,58,0,0
2020-05-14,2,107,0,58,0,0
2020-05-15,0,107,3,61,0,0
2020-05-16,0,107,1,62,0,0
2020-05-17,1,108,11,73,0,0
2020-05-18,1,109,0,73,0,0
2020-05-20,0,109,23,96,0,0
2020-05-22,18,127,4,100,0,0
2020-05-23,0,127,4,104,0,0
2020-05-24,1,128,1,105,0,0
2020-05-25,1,129,0,105,0,0
2020-05-27,12,141,0,105,0,0
2020-05-28,8,149,0,105,0,0
2020-05-29,1,150,0,105,1,1
2020-05-30,16,166,1,106,0,1
2020-05-31,2,168,0,106,0,1
2020-06-01,5,173,0,106,2,3
2020-06-02,7,180,0,106,0,3
2020-06-03,25,205,1,107,0,3
2020-06-04,35,240,3,110,0,3
2020-06-05,42,282,21,131,0,3
2020-06-06,64,346,0,131,1,4
2020-06-07,24,370,0,131,0,4
2020-06-08,31,401,0,131,0,4
2020-06-09,1,402,0,131,0,4
2020-06-10,37,439,38,169,0,4
2020-06-12,38,477,54,223,0,4
2020-06-13,15,492,49,272,1,5
2020-06-14,45,537,20,292,0,5
2020-06-15,20,557,10,302,0,5
2020-06-16,1,558,18,320,1,6
2020-06-17,27,585,0,320,1,7
2020-06-18,10,595,70,390,1,8
2020-06-19,7,602,1,391,1,9
2020-06-20,12,614,27,418,1,10
2020-06-22,22,636,0,418,0,10
2020-06-23,0,636,3,421,0,10
2020-06-24,35,671,29,450,0,10
2020-06-25,15,686,27,477,0,10
2020-06-26,18,704,39,516,0,10
2020-06-27,26,730,14,530,0,10
2020-06-28,2,732,0,530,0,10
2020-06-29,18,750,13,543,1,11
2020-06-30,18,768,11,554,1,12
2020-07-01,32,800,27,581,0,12
2020-07-02,1,801,28,609,0,12
2020-07-03,1,802,0,609,1,13
2020-07-04,46,848,0,609,0,13
2020-07-05,1,849,0,609,0,13
2020-07-06,12,861,4,613,0,13
2020-07-07,1,862,14,627,0,13
2020-07-08,4,866,0,627,1,14
2020-07-09,7,873,23,650,1,15
2020-07-10,14,887,11,661,0,15
