dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-23,1,1,0,0,0,0
2020-04-26,2,3,0,0,0,0
2020-05-08,20,23,0,0,0,0
2020-05-09,0,23,2,2,0,0
2020-05-13,0,23,1,3,0,0
2020-05-15,4,27,0,3,0,0
2020-05-16,1,28,0,3,0,0
2020-05-18,1,29,0,3,0,0
2020-05-20,18,47,0,3,0,0
2020-05-24,3,50,0,3,0,0
2020-05-25,2,52,0,3,0,0
2020-05-26,3,55,0,3,0,0
2020-05-29,2,57,32,35,0,0
2020-05-30,2,59,13,48,0,0
2020-06-01,2,61,0,48,0,0
2020-06-02,1,62,0,48,0,0
2020-06-04,10,72,10,58,0,0
2020-06-05,6,78,10,68,0,0
2020-06-06,0,78,-10,58,0,0
2020-06-07,3,81,0,58,0,0
2020-06-08,5,86,0,58,0,0
2020-06-09,2,88,0,58,0,0
2020-06-11,0,88,2,60,0,0
2020-06-13,2,90,0,60,0,0
2020-06-16,1,91,23,83,0,0
2020-06-18,4,95,0,83,0,0
2020-06-19,0,95,1,84,0,0
2020-06-20,2,97,0,84,0,0
2020-06-21,0,97,2,86,0,0
2020-06-25,0,97,11,97,0,0
2020-06-28,4,101,0,97,0,0
2020-06-29,2,103,0,97,0,0
2020-07-01,4,107,0,97,0,0
2020-07-02,1,108,0,97,0,0
2020-07-03,3,111,0,97,0,0
2020-07-07,1,112,0,97,0,0
2020-07-08,1,113,0,97,0,0
2020-07-10,9,122,0,97,0,0
