dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-13,1,1,0,0,0,0
2020-05-07,0,1,1,1,0,0
2020-05-11,3,4,0,1,0,0
2020-05-12,3,7,0,1,0,0
2020-05-13,-1,6,0,1,0,0
2020-05-14,4,10,0,1,0,0
2020-05-20,5,15,0,1,0,0
2020-05-21,1,16,0,1,0,0
2020-05-24,0,16,2,3,0,0
2020-05-29,1,17,0,3,1,1
2020-06-01,0,17,8,11,0,1
2020-06-02,1,18,0,11,0,1
2020-06-03,3,21,0,11,0,1
2020-06-06,0,21,9,20,0,1
2020-06-08,12,33,0,20,0,1
2020-06-10,19,52,0,20,0,1
2020-06-11,0,52,11,31,0,1
2020-06-13,1,53,0,31,0,1
2020-06-14,0,53,13,44,0,1
2020-06-15,0,53,1,45,0,1
2020-06-18,0,53,5,50,0,1
2020-06-19,0,53,0,50,0,1
2020-06-20,4,57,0,50,0,1
2020-06-21,6,63,0,50,0,1
2020-06-22,7,70,0,50,0,1
2020-06-23,2,72,1,51,0,1
2020-06-25,8,80,0,51,0,1
2020-06-26,6,86,0,51,0,1
2020-06-27,1,87,0,51,0,1
2020-06-28,4,91,15,66,0,1
2020-06-29,0,91,0,66,1,2
2020-06-30,1,92,14,80,0,2
2020-07-02,7,99,0,80,0,2
2020-07-03,3,102,0,80,0,2
2020-07-04,1,103,0,80,0,2
2020-07-05,1,104,0,80,0,2
2020-07-06,0,104,1,81,0,2
2020-07-07,0,104,5,86,0,2
2020-07-09,1,105,0,86,0,2
2020-07-10,8,113,0,86,0,2
