dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-19,2,2,0,0,0,0
2020-05-20,1,3,0,0,0,0
2020-05-23,7,10,0,0,0,0
2020-05-26,1,11,0,0,0,0
2020-05-28,2,13,0,0,0,0
2020-05-29,7,20,0,0,0,0
2020-05-30,1,21,0,0,0,0
2020-06-01,1,22,0,0,0,0
2020-06-03,1,23,0,0,0,0
2020-06-04,3,26,0,0,0,0
2020-06-05,1,27,0,0,0,0
2020-06-06,10,37,1,1,0,0
2020-06-07,4,41,0,1,0,0
2020-06-08,15,56,5,6,0,0
2020-06-09,13,69,0,6,0,0
2020-06-10,0,69,3,9,0,0
2020-06-12,19,88,20,29,0,0
2020-06-14,1,89,11,40,0,0
2020-06-15,0,89,13,53,1,1
2020-06-16,1,90,0,53,0,1
2020-06-17,1,91,0,53,0,1
2020-06-18,2,93,0,53,0,1
2020-06-19,0,93,0,53,0,1
2020-06-20,1,94,0,53,0,1
2020-06-21,7,101,0,53,0,1
2020-06-22,0,101,14,67,0,1
2020-06-23,4,105,0,67,0,1
2020-06-24,0,105,1,68,0,1
2020-06-25,5,110,0,68,0,1
2020-06-27,5,115,0,68,0,1
2020-06-28,2,117,0,68,0,1
2020-06-29,0,117,2,70,0,1
2020-07-01,1,118,11,81,0,1
2020-07-03,8,126,0,81,0,1
2020-07-04,-7,119,0,81,0,1
2020-07-06,0,119,2,83,0,1
2020-07-07,0,119,13,96,0,1
2020-07-08,1,120,0,96,0,1
2020-07-09,2,122,0,96,0,1
