dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-02,1,1,0,0,0,0
2020-04-11,1,2,0,0,0,0
2020-04-20,1,3,0,0,0,0
2020-05-02,0,3,1,1,0,0
2020-05-10,1,4,0,1,0,0
2020-05-12,6,10,0,1,0,0
2020-05-14,8,18,0,1,0,0
2020-05-15,3,21,0,1,0,0
2020-05-16,3,24,0,1,0,0
2020-05-17,1,25,0,1,0,0
2020-05-18,1,26,0,1,0,0
2020-05-19,6,32,0,1,0,0
2020-05-20,1,33,0,1,0,0
2020-05-22,8,41,0,1,0,0
2020-05-24,4,45,0,1,0,0
2020-05-26,3,48,5,6,0,0
2020-05-27,5,53,0,6,0,0
2020-05-29,12,65,12,18,0,0
2020-05-30,4,69,0,18,0,0
2020-05-31,3,72,0,18,0,0
2020-06-01,3,75,15,33,0,0
2020-06-02,5,80,0,33,0,0
2020-06-03,3,83,0,33,0,0
2020-06-04,4,87,10,43,0,0
2020-06-05,24,111,10,53,0,0
2020-06-06,5,116,-3,50,0,0
2020-06-07,3,119,0,50,0,0
2020-06-08,4,123,13,63,0,0
2020-06-09,0,123,10,73,0,0
2020-06-10,7,130,9,82,0,0
2020-06-11,2,132,13,95,0,0
2020-06-13,0,132,14,109,0,0
2020-06-14,1,133,4,113,0,0
2020-06-15,1,134,0,113,0,0
2020-06-17,19,153,0,113,0,0
2020-06-18,1,154,0,113,1,1
2020-06-19,8,162,0,113,0,1
2020-06-20,1,163,7,120,0,1
2020-06-21,4,167,0,120,0,1
2020-06-22,3,170,0,120,0,1
2020-06-24,4,174,0,120,1,2
2020-06-25,5,179,0,120,0,2
2020-06-26,7,186,0,120,0,2
2020-06-27,3,189,13,133,0,2
2020-06-28,2,191,0,133,0,2
2020-06-29,1,192,0,133,1,3
2020-07-01,5,197,0,133,0,3
2020-07-02,3,200,33,166,0,3
2020-07-03,2,202,0,166,0,3
2020-07-06,5,207,1,167,0,3
2020-07-07,6,213,0,167,0,3
2020-07-08,0,213,14,181,0,3
2020-07-09,5,218,0,181,0,3
2020-07-10,25,243,0,181,0,3
