dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-11,1,1,0,0,0,0
2020-05-05,0,1,1,1,0,0
2020-05-08,2,3,0,1,0,0
2020-05-13,2,5,0,1,0,0
2020-05-14,1,6,0,1,0,0
2020-05-19,3,9,0,1,0,0
2020-05-20,5,14,0,1,0,0
2020-05-21,2,16,0,1,0,0
2020-05-23,10,26,0,1,0,0
2020-05-24,3,29,0,1,1,1
2020-05-26,2,31,0,1,0,1
2020-05-29,10,41,5,6,0,1
2020-05-30,0,41,19,25,0,1
2020-06-01,4,45,0,25,0,1
2020-06-03,1,46,0,25,0,1
2020-06-04,13,59,0,25,0,1
2020-06-05,1,60,0,25,0,1
2020-06-06,0,60,6,31,0,1
2020-06-07,2,62,0,31,0,1
2020-06-09,16,78,5,36,0,1
2020-06-10,12,90,0,36,0,1
2020-06-11,3,93,0,36,0,1
2020-06-13,35,128,6,42,0,1
2020-06-16,0,128,22,64,0,1
2020-06-17,24,152,0,64,0,1
2020-06-19,0,152,13,77,0,1
2020-06-20,5,157,0,77,0,1
2020-06-21,2,159,0,77,0,1
2020-06-22,0,159,32,109,0,1
2020-06-23,7,166,0,109,0,1
2020-06-25,5,171,0,109,0,1
2020-06-26,1,172,23,132,0,1
2020-06-27,1,173,6,138,0,1
2020-06-28,2,175,0,138,0,1
2020-06-29,1,176,4,142,0,1
2020-06-30,2,178,0,142,0,1
2020-07-02,8,186,9,151,0,1
2020-07-03,2,188,0,151,0,1
2020-07-04,6,194,0,151,0,1
2020-07-05,6,200,5,156,0,1
2020-07-06,4,204,1,157,0,1
2020-07-07,7,211,5,162,0,1
2020-07-08,17,228,0,162,0,1
2020-07-09,13,241,0,162,0,1
2020-07-10,8,249,0,162,0,1
