dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-13,1,1,0,0,0,0
2020-05-19,3,4,0,0,0,0
2020-05-26,5,9,0,0,0,0
2020-05-27,1,10,0,0,0,0
2020-05-29,0,10,4,4,0,0
2020-06-01,0,10,3,7,0,0
2020-06-03,3,13,0,7,0,0
2020-06-04,1,14,0,7,0,0
2020-06-05,6,20,0,7,0,0
2020-06-06,3,23,0,7,0,0
2020-06-07,3,26,0,7,0,0
2020-06-08,6,32,0,7,0,0
2020-06-09,13,45,0,7,0,0
2020-06-10,0,45,13,20,0,0
2020-06-11,5,50,6,26,0,0
2020-06-12,2,52,0,26,0,0
2020-06-13,0,52,2,28,0,0
2020-06-16,0,52,16,44,0,0
2020-06-18,2,54,0,44,0,0
2020-06-19,0,54,0,44,0,0
2020-06-20,0,54,2,46,0,0
2020-06-24,0,54,2,48,0,0
2020-06-29,0,54,1,49,0,0
2020-07-01,0,54,4,53,0,0
2020-07-02,3,57,0,53,0,0
2020-07-04,2,59,0,53,0,0
2020-07-06,1,60,0,53,0,0
2020-07-07,1,61,0,53,0,0
2020-07-09,11,72,2,55,0,0
2020-07-10,2,74,0,55,0,0
