dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-17,1,1,0,0,0,0
2020-05-19,1,2,0,0,0,0
2020-05-29,1,3,0,0,0,0
2020-05-30,0,3,2,2,0,0
2020-05-31,1,4,0,2,0,0
2020-06-01,2,6,0,2,0,0
2020-06-06,1,7,0,2,0,0
2020-06-07,11,18,4,6,0,0
2020-06-08,3,21,0,6,0,0
2020-06-09,10,31,8,14,0,0
2020-06-10,5,36,0,14,0,0
2020-06-11,1,37,4,18,0,0
2020-06-14,0,37,8,26,0,0
2020-06-15,3,40,2,28,0,0
2020-06-16,1,41,3,31,0,0
2020-06-17,3,44,0,31,0,0
2020-06-18,1,45,0,31,0,0
2020-06-19,3,48,6,37,0,0
2020-06-21,1,49,0,37,0,0
2020-06-22,1,50,0,37,0,0
2020-06-23,2,52,0,37,0,0
2020-06-24,1,53,4,41,0,0
2020-06-26,0,53,3,44,0,0
2020-06-28,2,55,0,44,0,0
2020-06-29,2,57,1,45,0,0
2020-07-01,1,58,0,45,0,0
2020-07-02,1,59,0,45,0,0
2020-07-04,1,60,0,45,0,0
2020-07-05,10,70,0,45,0,0
2020-07-06,2,72,3,48,0,0
2020-07-07,3,75,1,49,0,0
2020-07-09,6,81,0,49,0,0
2020-07-10,14,95,0,49,0,0
