dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-25,3,3,0,0,0,0
2020-05-07,5,8,0,0,0,0
2020-05-09,0,8,3,3,0,0
2020-05-14,7,15,0,3,0,0
2020-05-18,0,15,5,8,0,0
2020-05-21,0,15,7,15,0,0
2020-05-26,2,17,0,15,0,0
2020-05-30,1,18,0,15,0,0
2020-06-01,0,18,1,16,0,0
2020-06-02,1,19,0,16,0,0
2020-06-03,6,25,0,16,0,0
2020-06-04,1,26,1,17,0,0
2020-06-05,1,27,1,18,0,0
2020-06-06,2,29,0,18,0,0
2020-06-08,0,29,8,26,0,0
2020-06-09,2,31,1,27,0,0
2020-06-10,7,38,0,27,0,0
2020-06-11,0,38,1,28,0,0
2020-06-12,7,45,4,32,0,0
2020-06-15,0,45,12,44,0,0
2020-06-22,1,46,1,45,0,0
2020-06-23,3,49,0,45,0,0
2020-06-24,1,50,0,45,0,0
2020-06-25,1,51,0,45,0,0
2020-06-26,0,51,3,48,0,0
2020-06-29,0,51,2,50,0,0
2020-06-30,2,53,0,50,0,0
2020-07-01,0,53,1,51,0,0
2020-07-02,8,61,2,53,0,0
2020-07-04,5,66,6,59,0,0
2020-07-05,2,68,0,59,0,0
2020-07-06,1,69,1,60,0,0
2020-07-07,2,71,0,60,0,0
2020-07-09,1,72,7,67,0,0
2020-07-10,9,81,2,69,0,0
