dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-17,2,2,0,0,0,0
2020-05-19,1,3,0,0,0,0
2020-05-22,3,6,0,0,0,0
2020-05-24,3,9,0,0,0,0
2020-05-25,1,10,0,0,0,0
2020-05-26,1,11,0,0,0,0
2020-05-29,13,24,0,0,0,0
2020-05-31,1,25,0,0,0,0
2020-06-02,20,45,0,0,0,0
2020-06-03,4,49,0,0,0,0
2020-06-04,0,49,5,5,0,0
2020-06-05,7,56,5,10,0,0
2020-06-06,21,77,0,10,0,0
2020-06-07,6,83,0,10,0,0
2020-06-08,2,85,0,10,0,0
2020-06-09,10,95,0,10,0,0
2020-06-10,2,97,0,10,0,0
2020-06-12,5,102,1,11,0,0
2020-06-13,6,108,38,49,0,0
2020-06-15,0,108,19,68,0,0
2020-06-16,2,110,1,69,0,0
2020-06-17,2,112,0,69,0,0
2020-06-18,1,113,0,69,0,0
2020-06-19,0,113,0,69,0,0
2020-06-20,2,115,19,88,0,0
2020-06-21,2,117,0,88,0,0
2020-06-23,3,120,0,88,0,0
2020-06-27,0,120,19,107,0,0
2020-06-28,0,120,5,112,0,0
2020-06-30,1,121,1,113,0,0
2020-07-01,0,121,2,115,0,0
2020-07-02,1,122,0,115,0,0
2020-07-07,28,150,7,122,0,0
2020-07-08,0,150,1,123,0,0
2020-07-09,0,150,1,124,0,0
2020-07-10,8,158,0,124,0,0
