dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-18,1,1,0,0,0,0
2020-05-22,3,4,0,0,0,0
2020-05-24,2,6,0,0,0,0
2020-05-26,8,14,0,0,0,0
2020-05-27,1,15,0,0,0,0
2020-05-30,0,15,1,1,0,0
2020-06-03,1,16,0,1,0,0
2020-06-04,0,16,1,2,0,0
2020-06-05,0,16,1,3,0,0
2020-06-06,5,21,3,6,0,0
2020-06-07,1,22,0,6,0,0
2020-06-08,1,23,0,6,0,0
2020-06-09,12,35,0,6,0,0
2020-06-10,2,37,0,6,0,0
2020-06-12,6,43,0,6,0,0
2020-06-13,3,46,0,6,0,0
2020-06-14,1,47,1,7,0,0
2020-06-15,6,53,0,7,0,0
2020-06-16,0,53,12,19,0,0
2020-06-19,0,53,4,23,0,0
2020-06-20,2,55,3,26,0,0
2020-06-21,2,57,0,26,0,0
2020-06-23,0,57,11,37,0,0
2020-06-28,1,58,0,37,0,0
2020-06-29,0,58,4,41,0,0
2020-07-02,0,58,7,48,0,0
2020-07-04,3,61,0,48,0,0
2020-07-06,3,64,0,48,0,0
2020-07-07,5,69,0,48,0,0
2020-07-08,4,73,9,57,0,0
2020-07-10,19,92,0,57,0,0
