dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-31,3,3,0,0,0,0
2020-04-02,1,4,0,0,0,0
2020-04-04,1,5,0,0,0,0
2020-04-05,1,6,0,0,0,0
2020-04-17,7,13,0,0,0,0
2020-04-26,0,13,2,2,0,0
2020-05-01,0,13,2,4,0,0
2020-05-03,0,13,1,5,0,0
2020-05-05,1,14,0,5,0,0
2020-05-07,0,14,1,6,0,0
2020-05-08,1,15,2,8,0,0
2020-05-12,1,16,0,8,0,0
2020-05-13,1,17,1,9,0,0
2020-05-15,0,17,1,10,0,0
2020-05-16,1,18,0,10,0,0
2020-05-18,1,19,0,10,0,0
2020-05-19,0,19,0,10,1,1
2020-05-21,11,30,0,10,0,1
2020-05-23,3,33,0,10,0,1
2020-05-25,3,36,0,10,0,1
2020-05-26,1,37,0,10,0,1
2020-05-27,1,38,1,11,0,1
2020-05-29,9,47,0,11,0,1
2020-05-31,1,48,0,11,0,1
2020-06-01,3,51,2,13,0,1
2020-06-02,0,51,11,24,0,1
2020-06-03,1,52,5,29,0,1
2020-06-04,1,53,3,32,0,1
2020-06-05,1,54,0,32,0,1
2020-06-06,0,54,8,40,0,1
2020-06-07,6,60,0,40,0,1
2020-06-08,8,68,0,40,0,1
2020-06-10,3,71,0,40,0,1
2020-06-12,97,168,0,40,0,1
2020-06-13,11,179,6,46,0,1
2020-06-14,8,187,6,52,0,1
2020-06-15,10,197,0,52,0,1
2020-06-16,53,250,0,52,0,1
2020-06-17,29,279,0,52,1,2
2020-06-18,48,327,35,87,0,2
2020-06-19,37,364,0,87,0,2
2020-06-20,38,402,8,95,0,2
2020-06-21,40,442,14,109,0,2
2020-06-22,0,442,0,109,1,3
2020-06-23,53,495,33,142,1,4
2020-06-24,34,529,0,142,4,8
2020-06-25,26,555,49,191,0,8
2020-06-26,47,602,38,229,1,9
2020-06-27,24,626,60,289,1,10
2020-06-28,71,697,21,310,1,11
2020-06-29,76,773,0,310,12,23
2020-06-30,61,834,92,402,6,29
2020-07-01,85,919,0,402,0,29
2020-07-02,65,984,62,464,4,33
2020-07-03,97,1081,28,492,1,34
2020-07-04,73,1154,20,512,0,34
2020-07-05,90,1244,37,549,1,35
2020-07-06,99,1343,18,567,1,36
2020-07-07,45,1388,27,594,0,36
2020-07-08,59,1447,30,624,4,40
2020-07-09,41,1488,38,662,0,40
2020-07-10,66,1554,77,739,1,41
