dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-03,3,3,0,0,0,0
2020-04-05,4,7,0,0,0,0
2020-04-09,3,10,0,0,0,0
2020-04-12,4,14,0,0,0,0
2020-04-13,3,17,0,0,0,0
2020-04-14,1,18,0,0,0,0
2020-04-15,0,18,0,0,2,2
2020-04-16,15,33,0,0,0,2
2020-04-17,5,38,0,0,0,2
2020-04-18,1,39,0,0,0,2
2020-04-21,1,40,0,0,0,2
2020-04-24,2,42,0,0,0,2
2020-04-25,9,51,0,0,0,2
2020-04-26,0,51,2,2,0,2
2020-04-29,1,52,1,3,0,2
2020-04-30,14,66,0,3,0,2
2020-05-01,3,69,0,3,0,2
2020-05-02,1,70,8,11,0,2
2020-05-04,0,70,11,22,0,2
2020-05-06,0,70,8,30,0,2
2020-05-07,1,71,0,30,0,2
2020-05-08,11,82,0,30,0,2
2020-05-10,30,112,3,33,0,2
2020-05-11,0,112,-1,32,0,2
2020-05-13,0,112,5,37,0,2
2020-05-14,1,113,0,37,0,2
2020-05-15,0,113,13,50,0,2
2020-05-18,2,115,0,50,0,2
2020-05-19,0,115,2,52,0,2
2020-05-21,9,124,0,52,0,2
2020-05-22,1,125,1,53,0,2
2020-05-23,1,126,0,53,0,2
2020-05-25,1,127,9,62,0,2
2020-05-26,13,140,23,85,0,2
2020-05-27,4,144,0,85,0,2
2020-05-28,0,144,3,88,0,2
2020-05-30,1,145,0,88,0,2
2020-05-31,13,158,0,88,0,2
2020-06-01,0,158,16,104,0,2
2020-06-02,51,209,9,113,0,2
2020-06-03,0,209,7,120,0,2
2020-06-04,12,221,0,120,0,2
2020-06-05,36,257,0,120,0,2
2020-06-06,5,262,0,120,0,2
2020-06-07,38,300,27,147,0,2
2020-06-10,1,301,4,151,0,2
2020-06-12,1,302,62,213,0,2
2020-06-14,1,303,6,219,0,2
2020-06-15,0,303,22,241,0,2
2020-06-16,3,306,9,250,0,2
2020-06-19,1,307,25,275,0,2
2020-06-20,1,308,0,275,0,2
2020-06-21,0,308,3,278,0,2
2020-06-23,2,310,0,278,0,2
2020-06-24,1,311,7,285,0,2
2020-06-25,4,315,6,291,0,2
2020-06-26,1,316,1,292,0,2
2020-06-27,1,317,0,292,0,2
2020-06-28,8,325,4,296,0,2
2020-06-30,2,327,3,299,1,3
2020-07-01,8,335,0,299,1,4
2020-07-02,7,342,0,299,1,5
2020-07-03,13,355,0,299,0,5
2020-07-04,27,382,10,309,0,5
2020-07-05,11,393,0,309,2,7
2020-07-07,20,413,0,309,1,8
2020-07-08,27,440,29,338,0,8
2020-07-09,9,449,0,338,0,8
2020-07-10,15,464,0,338,0,8
