dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-21,0,0,1,1,0,0
2020-03-22,0,0,1,2,0,0
2020-03-24,0,0,1,3,0,0
2020-03-26,0,0,0,3,1,1
2020-03-28,0,0,3,6,0,1
2020-03-31,1,1,0,6,0,1
2020-04-08,1,2,0,6,0,1
2020-04-09,3,5,0,6,0,1
2020-04-14,1,6,0,6,0,1
2020-04-15,0,6,0,6,1,2
2020-04-17,3,9,0,6,0,2
2020-04-24,1,10,0,6,0,2
2020-04-25,1,11,0,6,0,2
2020-05-01,1,12,0,6,0,2
2020-05-02,1,13,0,6,0,2
2020-05-03,0,13,1,7,0,2
2020-05-04,1,14,0,7,0,2
2020-05-09,1,15,0,7,0,2
2020-05-10,1,16,4,11,0,2
2020-05-12,1,17,0,11,0,2
2020-05-17,0,17,1,12,0,2
2020-05-18,0,17,1,13,0,2
2020-05-21,2,19,0,13,0,2
2020-05-22,47,66,0,13,0,2
2020-05-23,26,92,0,13,0,2
2020-05-24,27,119,0,13,0,2
2020-05-26,1,120,1,14,0,2
2020-05-27,4,124,0,14,0,2
2020-05-29,5,129,0,14,0,2
2020-05-30,0,129,1,15,0,2
2020-05-31,0,129,18,33,0,2
2020-06-01,5,134,1,34,0,2
2020-06-02,2,136,0,34,0,2
2020-06-03,0,136,13,47,0,2
2020-06-04,2,138,0,47,0,2
2020-06-05,3,141,3,50,0,2
2020-06-06,2,143,19,69,0,2
2020-06-07,0,143,17,86,0,2
2020-06-08,0,143,1,87,0,2
2020-06-09,2,145,17,104,0,2
2020-06-11,0,145,15,119,0,2
2020-06-12,0,145,2,121,0,2
2020-06-15,0,145,7,128,0,2
2020-06-16,0,145,8,136,0,2
2020-06-17,3,148,0,136,0,2
2020-06-18,0,148,5,141,0,2
2020-06-19,3,151,0,141,0,2
2020-06-20,5,156,0,141,0,2
2020-06-21,3,159,0,141,0,2
2020-06-22,1,160,1,142,0,2
2020-06-23,5,165,0,142,0,2
2020-06-24,8,173,0,142,0,2
2020-06-25,2,175,0,142,0,2
2020-06-26,0,175,5,147,0,2
2020-06-27,1,176,6,153,0,2
2020-06-28,3,179,0,153,0,2
2020-06-29,15,194,0,153,0,2
2020-06-30,13,207,0,153,0,2
2020-07-01,15,222,6,159,0,2
2020-07-02,1,223,1,160,0,2
2020-07-03,3,226,2,162,3,5
2020-07-04,12,238,0,162,0,5
2020-07-05,13,251,5,167,1,6
2020-07-06,7,258,19,186,1,7
2020-07-07,3,261,0,186,0,7
2020-07-08,32,293,3,189,2,9
2020-07-09,32,325,6,195,0,9
2020-07-10,12,337,10,205,2,11
