dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-19,5,5,0,0,0,0
2020-05-22,5,10,0,0,0,0
2020-05-27,3,13,1,1,0,0
2020-05-28,3,16,0,1,0,0
2020-05-29,2,18,1,2,0,0
2020-05-31,0,18,2,4,0,0
2020-06-01,0,18,4,8,0,0
2020-06-04,0,18,5,13,0,0
2020-06-05,0,18,3,16,0,0
2020-06-06,0,18,5,21,0,0
2020-06-07,0,18,-3,18,0,0
2020-06-11,1,19,0,18,0,0
2020-06-16,4,23,0,18,0,0
2020-06-17,0,23,1,19,0,0
2020-06-18,3,26,0,19,0,0
2020-06-19,2,28,0,19,0,0
2020-06-20,8,36,0,19,1,1
2020-06-21,1,37,0,19,0,1
2020-06-22,5,42,0,19,0,1
2020-06-24,1,43,4,23,0,1
2020-06-25,1,44,0,23,0,1
2020-06-26,4,48,0,23,0,1
2020-06-27,2,50,4,27,0,1
2020-06-28,3,53,0,27,0,1
2020-06-29,17,70,8,35,0,1
2020-06-30,10,80,1,36,0,1
2020-07-01,1,81,5,41,0,1
2020-07-02,1,82,2,43,0,1
2020-07-04,3,85,6,49,0,1
2020-07-05,9,94,2,51,0,1
2020-07-06,2,96,1,52,0,1
2020-07-07,6,102,0,52,0,1
2020-07-08,23,125,19,71,1,2
2020-07-09,5,130,0,71,0,2
2020-07-10,1,131,13,84,1,3
