dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,0,0,2,2,0,0
2020-03-31,1,1,0,2,0,0
2020-04-04,3,4,0,2,0,0
2020-04-17,1,5,0,2,0,0
2020-04-19,1,6,0,2,2,2
2020-04-21,1,7,0,2,0,2
2020-04-23,1,8,0,2,0,2
2020-04-24,0,8,0,2,1,3
2020-04-25,1,9,0,2,0,3
2020-04-26,1,10,0,2,0,3
2020-04-27,2,12,0,2,0,3
2020-04-30,1,13,0,2,1,4
2020-05-01,2,15,0,2,0,4
2020-05-05,1,16,0,2,0,4
2020-05-06,3,19,1,3,0,4
2020-05-09,3,22,0,3,0,4
2020-05-12,2,24,0,3,0,4
2020-05-13,1,25,1,4,1,5
2020-05-14,0,25,2,6,1,6
2020-05-15,16,41,0,6,0,6
2020-05-17,2,43,0,6,0,6
2020-05-18,2,45,1,7,0,6
2020-05-20,1,46,0,7,0,6
2020-05-21,6,52,3,10,0,6
2020-05-22,1,53,1,11,0,6
2020-05-23,3,56,0,11,0,6
2020-05-24,1,57,0,11,0,6
2020-05-25,4,61,0,11,0,6
2020-05-26,3,64,0,11,0,6
2020-05-27,11,75,0,11,0,6
2020-05-28,24,99,12,23,0,6
2020-05-30,14,113,2,25,0,6
2020-05-31,14,127,9,34,0,6
2020-06-01,-1,126,-1,33,0,6
2020-06-03,2,128,9,42,0,6
2020-06-04,4,132,11,53,0,6
2020-06-05,8,140,0,53,0,6
2020-06-06,24,164,15,68,0,6
2020-06-07,17,181,4,72,0,6
2020-06-08,3,184,-1,71,0,6
2020-06-09,23,207,10,81,0,6
2020-06-10,4,211,10,91,0,6
2020-06-11,2,213,1,92,0,6
2020-06-12,17,230,17,109,0,6
2020-06-13,30,260,4,113,0,6
2020-06-14,5,265,11,124,1,7
2020-06-15,23,288,6,130,0,7
2020-06-16,79,367,11,141,0,7
2020-06-17,8,375,0,141,0,7
2020-06-18,23,398,6,147,0,7
2020-06-19,13,411,46,193,0,7
2020-06-20,4,415,4,197,0,7
2020-06-21,7,422,26,223,0,7
2020-06-22,12,434,17,240,0,7
2020-06-23,8,442,2,242,1,8
2020-06-24,12,454,0,242,0,8
2020-06-25,29,483,88,330,1,9
2020-06-26,33,516,32,362,0,9
2020-06-27,49,565,8,370,0,9
2020-06-28,97,662,6,376,3,12
2020-06-29,32,694,4,380,1,13
2020-06-30,44,738,1,381,0,13
2020-07-01,84,822,17,398,1,14
2020-07-02,90,912,34,432,3,17
2020-07-03,97,1009,51,483,0,17
2020-07-04,75,1084,26,509,4,21
2020-07-05,147,1231,36,545,0,21
2020-07-06,34,1265,75,620,2,23
2020-07-07,83,1348,26,646,0,23
2020-07-08,183,1531,0,646,1,24
2020-07-09,167,1698,36,682,0,24
2020-07-10,139,1837,46,728,8,32
