dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-19,0,0,1,1,0,0
2020-05-18,1,1,0,1,0,0
2020-05-24,1,2,0,1,0,0
2020-06-22,2,4,0,1,0,0
2020-06-23,1,5,0,1,0,0
2020-06-24,2,7,2,3,0,0
2020-06-25,18,25,0,3,0,0
2020-06-26,4,29,0,3,0,0
2020-06-27,9,38,0,3,0,0
2020-06-28,3,41,0,3,0,0
2020-06-29,1,42,0,3,0,0
2020-06-30,4,46,0,3,0,0
2020-07-01,7,53,0,3,0,0
2020-07-02,6,59,0,3,0,0
2020-07-03,16,75,0,3,0,0
2020-07-06,2,77,0,3,1,1
2020-07-07,14,91,0,3,0,1
2020-07-08,0,91,12,15,0,1
2020-07-09,4,95,0,15,0,1
2020-07-10,33,128,2,17,0,1
