dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-07,3,3,0,0,0,0
2020-04-08,1,4,0,0,0,0
2020-04-09,1,5,0,0,0,0
2020-04-13,3,8,0,0,0,0
2020-04-17,3,11,0,0,0,0
2020-04-18,1,12,0,0,0,0
2020-04-23,2,14,0,0,0,0
2020-04-24,1,15,0,0,0,0
2020-04-25,1,16,0,0,0,0
2020-04-26,0,16,4,4,0,0
2020-04-27,2,18,0,4,0,0
2020-05-01,8,26,0,4,0,0
2020-05-04,2,28,3,7,0,0
2020-05-06,0,28,4,11,0,0
2020-05-09,0,28,3,14,0,0
2020-05-11,2,30,0,14,0,0
2020-05-12,1,31,0,14,0,0
2020-05-13,0,31,5,19,0,0
2020-05-14,5,36,0,19,0,0
2020-05-15,13,49,0,19,0,0
2020-05-16,1,50,0,19,0,0
2020-05-17,22,72,0,19,0,0
2020-05-18,17,89,2,21,0,0
2020-05-19,71,160,0,21,0,0
2020-05-20,8,168,3,24,0,0
2020-05-21,33,201,1,25,0,0
2020-05-22,8,209,0,25,0,0
2020-05-23,28,237,1,26,0,0
2020-05-24,15,252,0,26,0,0
2020-05-25,2,254,1,27,0,0
2020-05-26,0,254,1,28,0,0
2020-05-27,1,255,0,28,0,0
2020-05-29,2,257,5,33,0,0
2020-05-31,13,270,28,61,0,0
2020-06-01,15,285,0,61,0,0
2020-06-02,4,289,20,81,0,0
2020-06-03,13,302,0,81,0,0
2020-06-04,15,317,52,133,0,0
2020-06-05,13,330,13,146,0,0
2020-06-06,3,333,24,170,0,0
2020-06-07,1,334,41,211,0,0
2020-06-08,0,334,11,222,0,0
2020-06-09,0,334,14,236,0,0
2020-06-10,0,334,11,247,0,0
2020-06-11,0,334,8,255,0,0
2020-06-12,2,336,0,255,0,0
2020-06-13,2,338,6,261,0,0
2020-06-14,5,343,0,261,0,0
2020-06-16,0,343,21,282,0,0
2020-06-17,7,350,6,288,0,0
2020-06-18,7,357,16,304,0,0
2020-06-19,3,360,14,318,0,0
2020-06-20,4,364,3,321,0,0
2020-06-21,5,369,0,321,0,0
2020-06-23,2,371,13,334,0,0
2020-06-24,2,373,0,334,0,0
2020-06-25,9,382,0,334,0,0
2020-06-26,6,388,0,334,0,0
2020-06-27,12,400,4,338,0,0
2020-06-28,6,406,0,338,0,0
2020-06-29,8,414,0,338,0,0
2020-06-30,2,416,0,338,0,0
2020-07-01,5,421,2,340,0,0
2020-07-02,19,440,12,352,0,0
2020-07-03,33,473,2,354,0,0
2020-07-04,35,508,0,354,0,0
2020-07-05,10,518,13,367,0,0
2020-07-06,39,557,0,367,0,0
2020-07-07,29,586,14,381,0,0
2020-07-08,20,606,0,381,0,0
2020-07-09,24,630,15,396,0,0
2020-07-10,31,661,35,431,0,0
