dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-21,0,0,1,1,0,0
2020-03-26,0,0,1,2,0,0
2020-03-29,2,2,3,5,0,0
2020-03-30,1,3,3,8,0,0
2020-03-31,1,4,1,9,0,0
2020-04-01,4,8,0,9,0,0
2020-04-02,2,10,0,9,0,0
2020-04-04,7,17,0,9,0,0
2020-04-06,7,24,0,9,0,0
2020-04-09,2,26,0,9,0,0
2020-04-10,5,31,0,9,0,0
2020-04-11,5,36,0,9,0,0
2020-04-12,1,37,0,9,0,0
2020-04-15,10,47,0,9,0,0
2020-04-16,3,50,0,9,0,0
2020-04-17,12,62,0,9,0,0
2020-04-18,7,69,0,9,0,0
2020-04-19,4,73,0,9,0,0
2020-04-21,2,75,0,9,0,0
2020-04-22,2,77,0,9,0,0
2020-04-25,1,78,0,9,0,0
2020-04-26,0,78,4,13,0,0
2020-04-27,0,78,5,18,0,0
2020-04-28,0,78,7,25,0,0
2020-04-29,1,79,8,33,0,0
2020-04-30,0,79,7,40,0,0
2020-05-01,0,79,1,41,0,0
2020-05-03,0,79,11,52,0,0
2020-05-04,0,79,2,54,0,0
2020-05-05,0,79,3,57,0,0
2020-05-07,0,79,1,58,0,0
2020-05-09,0,79,2,60,0,0
2020-05-10,0,79,1,61,0,0
2020-05-14,0,79,2,63,0,0
2020-05-15,0,79,2,65,0,0
2020-05-18,1,80,0,65,0,0
2020-05-21,1,81,0,65,0,0
2020-05-28,0,81,1,66,0,0
2020-05-29,2,83,0,66,0,0
2020-05-30,2,85,0,66,0,0
2020-05-31,0,85,1,67,0,0
2020-06-03,2,87,0,67,0,0
2020-06-04,1,88,1,68,0,0
2020-06-09,2,90,3,71,0,0
2020-06-11,5,95,0,71,0,0
2020-06-12,9,104,0,71,0,0
2020-06-13,1,105,0,71,0,0
2020-06-16,4,109,10,81,0,0
2020-06-17,1,110,0,81,0,0
2020-06-18,2,112,6,87,0,0
2020-06-19,6,118,0,87,0,0
2020-06-20,22,140,0,87,0,0
2020-06-21,18,158,0,87,0,0
2020-06-22,1,159,0,87,0,0
2020-06-23,21,180,0,87,0,0
2020-06-24,7,187,0,87,0,0
2020-06-25,22,209,15,102,1,1
2020-06-26,5,214,1,103,0,1
2020-06-27,12,226,4,107,0,1
2020-06-28,18,244,32,139,1,2
2020-06-29,6,250,0,139,0,2
2020-06-30,9,259,14,153,1,3
2020-07-01,0,259,13,166,0,3
2020-07-02,68,327,8,174,1,4
2020-07-03,35,362,20,194,0,4
2020-07-04,38,400,21,215,0,4
2020-07-05,25,425,12,227,1,5
2020-07-06,45,470,21,248,3,8
2020-07-07,49,519,35,283,4,12
2020-07-08,59,578,18,301,2,14
2020-07-09,52,630,14,315,2,16
2020-07-10,51,681,25,340,4,20
