dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-25,1,1,0,0,0,0
2020-06-01,1,2,0,0,0,0
2020-06-05,2,4,0,0,0,0
2020-06-06,0,4,1,1,0,0
2020-06-08,1,5,0,1,0,0
2020-06-10,2,7,0,1,0,0
2020-06-11,5,12,0,1,0,0
2020-06-12,3,15,0,1,0,0
2020-06-13,1,16,0,1,0,0
2020-06-14,3,19,0,1,0,0
2020-06-15,2,21,0,1,0,0
2020-06-16,4,25,0,1,1,1
2020-06-18,21,46,2,3,0,1
2020-06-19,3,49,3,6,0,1
2020-06-20,38,87,0,6,0,1
2020-06-21,2,89,0,6,0,1
2020-06-22,3,92,0,6,1,2
2020-06-24,22,114,0,6,2,4
2020-06-25,33,147,0,6,0,4
2020-06-26,1,148,11,17,0,4
2020-06-27,0,148,4,21,0,4
2020-06-29,2,150,51,72,1,5
2020-06-30,12,162,0,72,0,5
2020-07-01,14,176,4,76,0,5
2020-07-02,39,215,0,76,0,5
2020-07-03,10,225,0,76,0,5
2020-07-04,2,227,0,76,0,5
2020-07-05,6,233,0,76,0,5
2020-07-06,11,244,27,103,0,5
2020-07-07,37,281,13,116,0,5
2020-07-08,34,315,0,116,2,7
2020-07-09,17,332,27,143,0,7
2020-07-10,23,355,10,153,0,7
