dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-10,8,8,0,0,0,0
2020-05-15,1,9,0,0,0,0
2020-05-16,3,12,0,0,0,0
2020-05-17,2,14,0,0,0,0
2020-05-19,12,26,0,0,0,0
2020-05-21,6,32,0,0,0,0
2020-05-22,2,34,0,0,0,0
2020-05-24,2,36,0,0,0,0
2020-05-27,0,36,4,4,0,0
2020-05-29,1,37,3,7,0,0
2020-05-30,6,43,0,7,0,0
2020-05-31,1,44,17,24,0,0
2020-06-01,7,51,-4,20,0,0
2020-06-03,2,53,4,24,0,0
2020-06-04,0,53,4,28,0,0
2020-06-07,12,65,0,28,0,0
2020-06-08,4,69,0,28,0,0
2020-06-09,4,73,3,31,0,0
2020-06-11,10,83,0,31,0,0
2020-06-12,6,89,12,43,0,0
2020-06-14,2,91,0,43,0,0
2020-06-15,3,94,11,54,0,0
2020-06-16,7,101,0,54,0,0
2020-06-17,4,105,15,69,1,1
2020-06-18,1,106,-1,68,0,1
2020-06-19,1,107,0,68,0,1
2020-06-20,2,109,17,85,0,1
2020-06-21,2,111,0,85,0,1
2020-06-23,5,116,3,88,0,1
2020-06-24,3,119,0,88,0,1
2020-06-25,4,123,5,93,0,1
2020-06-26,6,129,3,96,1,2
2020-06-27,13,142,8,104,0,2
2020-06-28,4,146,0,104,0,2
2020-06-29,5,151,5,109,0,2
2020-06-30,22,173,0,109,0,2
2020-07-01,3,176,0,109,0,2
2020-07-02,23,199,8,117,0,2
2020-07-03,23,222,0,117,2,4
2020-07-04,31,253,0,117,0,4
2020-07-05,8,261,0,117,0,4
2020-07-06,24,285,8,125,0,4
2020-07-07,33,318,12,137,0,4
2020-07-08,17,335,4,141,0,4
2020-07-09,37,372,0,141,0,4
2020-07-10,6,378,28,169,0,4
