dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,1,1,0,0,0,0
2020-03-29,2,3,0,0,0,0
2020-05-15,5,8,0,0,0,0
2020-05-16,1,9,0,0,0,0
2020-05-17,1,10,0,0,1,1
2020-05-18,1,11,0,0,0,1
2020-05-19,4,15,0,0,0,1
2020-05-20,6,21,0,0,0,1
2020-05-21,26,47,0,0,0,1
2020-05-22,3,50,0,0,0,1
2020-05-23,3,53,0,0,0,1
2020-05-24,23,76,0,0,0,1
2020-05-25,32,108,0,0,0,1
2020-05-26,3,111,0,0,0,1
2020-05-27,9,120,0,0,0,1
2020-05-28,29,149,0,0,0,1
2020-05-29,15,164,2,2,0,1
2020-05-30,13,177,1,3,0,1
2020-05-31,10,187,57,60,0,1
2020-06-01,73,260,-1,59,0,1
2020-06-02,150,410,0,59,0,1
2020-06-03,62,472,0,59,0,1
2020-06-04,92,564,20,79,0,1
2020-06-05,204,768,0,79,0,1
2020-06-06,121,889,21,100,0,1
2020-06-07,13,902,0,100,0,1
2020-06-08,45,947,131,231,0,1
2020-06-10,0,947,93,324,0,1
2020-06-11,22,969,22,346,0,1
2020-06-12,22,991,125,471,0,1
2020-06-13,14,1005,110,581,0,1
2020-06-14,21,1026,130,711,0,1
2020-06-15,2,1028,22,733,0,1
2020-06-16,7,1035,81,814,0,1
2020-06-17,4,1039,87,901,0,1
2020-06-18,0,1039,36,937,0,1
2020-06-19,11,1050,4,941,0,1
2020-06-20,13,1063,9,950,1,2
2020-06-21,0,1063,6,956,0,2
2020-06-22,14,1077,2,958,0,2
2020-06-23,11,1088,8,966,0,2
2020-06-24,14,1102,9,975,0,2
2020-06-25,14,1116,33,1008,0,2
2020-06-26,9,1125,17,1025,0,2
2020-06-27,14,1139,10,1035,0,2
2020-06-28,40,1179,4,1039,0,2
2020-06-29,18,1197,3,1042,0,2
2020-06-30,9,1206,11,1053,0,2
2020-07-01,22,1228,2,1055,0,2
2020-07-02,14,1242,21,1076,1,3
2020-07-03,16,1258,14,1090,0,3
2020-07-04,18,1276,10,1100,0,3
2020-07-05,45,1321,22,1122,0,3
2020-07-06,40,1361,18,1140,0,3
2020-07-07,28,1389,28,1168,0,3
2020-07-08,31,1420,7,1175,0,3
2020-07-09,22,1442,28,1203,0,3
2020-07-10,34,1476,7,1210,0,3
