dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-22,0,0,1,1,0,0
2020-03-24,0,0,2,3,0,0
2020-03-27,0,0,1,4,0,0
2020-03-28,4,4,0,4,0,0
2020-03-31,1,5,0,4,0,0
2020-04-06,0,5,1,5,0,0
2020-04-08,1,6,0,5,0,0
2020-04-14,1,7,0,5,0,0
2020-05-01,0,7,1,6,0,0
2020-05-05,1,8,0,6,0,0
2020-05-08,12,20,0,6,0,0
2020-05-09,8,28,0,6,0,0
2020-05-10,7,35,0,6,0,0
2020-05-13,2,37,0,6,0,0
2020-05-17,1,38,0,6,0,0
2020-05-18,9,47,0,6,0,0
2020-05-19,4,51,1,7,0,0
2020-05-20,1,52,0,7,0,0
2020-05-21,9,61,0,7,0,0
2020-05-22,1,62,0,7,0,0
2020-05-23,2,64,0,7,0,0
2020-05-24,2,66,20,27,0,0
2020-05-25,1,67,1,28,0,0
2020-05-26,0,67,7,35,0,0
2020-05-27,6,73,0,35,0,0
2020-05-29,0,73,3,38,0,0
2020-05-30,2,75,0,38,0,0
2020-05-31,5,80,0,38,0,0
2020-06-01,1,81,0,38,0,0
2020-06-02,0,81,5,43,0,0
2020-06-03,0,81,1,44,0,0
2020-06-05,7,88,0,44,0,0
2020-06-06,2,90,9,53,0,0
2020-06-07,2,92,6,59,0,0
2020-06-09,0,92,8,67,0,0
2020-06-10,0,92,10,77,0,0
2020-06-11,3,95,0,77,0,0
2020-06-12,4,99,3,80,0,0
2020-06-13,5,104,0,80,0,0
2020-06-14,6,110,8,88,0,0
2020-06-16,6,116,0,88,0,0
2020-06-17,3,119,0,88,0,0
2020-06-18,2,121,0,88,0,0
2020-06-19,1,122,0,88,0,0
2020-06-20,4,126,0,88,0,0
2020-06-21,8,134,6,94,0,0
2020-06-22,6,140,7,101,0,0
2020-06-23,3,143,6,107,0,0
2020-06-24,9,152,0,107,0,0
2020-06-25,11,163,10,117,0,0
2020-06-26,6,169,0,117,0,0
2020-06-27,2,171,9,126,0,0
2020-06-28,14,185,11,137,0,0
2020-06-29,24,209,1,138,0,0
2020-06-30,40,249,0,138,0,0
2020-07-01,23,272,0,138,0,0
2020-07-02,17,289,0,138,1,1
2020-07-03,5,294,8,146,0,1
2020-07-04,35,329,8,154,0,1
2020-07-05,21,350,0,154,0,1
2020-07-06,81,431,6,160,0,1
2020-07-07,35,466,5,165,0,1
2020-07-08,19,485,2,167,0,1
2020-07-09,23,508,38,205,1,2
2020-07-10,33,541,10,215,1,3
