dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-27,1,1,0,0,0,0
2020-03-28,1,2,0,0,0,0
2020-03-31,1,3,0,0,0,0
2020-04-02,2,5,0,0,0,0
2020-04-04,1,6,0,0,0,0
2020-04-06,1,7,1,1,0,0
2020-04-07,1,8,0,1,0,0
2020-04-09,1,9,0,1,0,0
2020-04-14,0,9,1,2,0,0
2020-04-15,0,9,1,3,0,0
2020-04-21,1,10,0,3,0,0
2020-04-23,1,11,0,3,0,0
2020-04-24,0,11,1,4,0,0
2020-04-25,3,14,0,4,0,0
2020-04-29,6,20,0,4,0,0
2020-04-30,0,20,3,7,0,0
2020-05-04,0,20,9,16,0,0
2020-05-13,0,20,1,17,0,0
2020-05-14,0,20,2,19,0,0
2020-05-15,1,21,0,19,0,0
2020-05-17,1,22,0,19,0,0
2020-05-18,6,28,0,19,0,0
2020-05-21,2,30,0,19,0,0
2020-05-22,1,31,0,19,0,0
2020-05-23,3,34,1,20,0,0
2020-05-24,3,37,0,20,0,0
2020-05-25,2,39,2,22,0,0
2020-05-26,4,43,0,22,0,0
2020-05-27,4,47,0,22,0,0
2020-05-28,1,48,0,22,0,0
2020-05-29,2,50,0,22,0,0
2020-05-30,4,54,0,22,0,0
2020-05-31,6,60,0,22,0,0
2020-06-01,5,65,0,22,0,0
2020-06-02,8,73,0,22,0,0
2020-06-03,5,78,2,24,0,0
2020-06-04,11,89,0,24,1,1
2020-06-05,2,91,0,24,0,1
2020-06-06,19,110,2,26,0,1
2020-06-07,9,119,3,29,0,1
2020-06-08,5,124,0,29,0,1
2020-06-09,5,129,3,32,0,1
2020-06-10,4,133,4,36,0,1
2020-06-11,8,141,4,40,0,1
2020-06-12,4,145,7,47,0,1
2020-06-14,1,146,0,47,0,1
2020-06-15,4,150,11,58,0,1
2020-06-16,4,154,1,59,0,1
2020-06-17,14,168,4,63,0,1
2020-06-18,13,181,10,73,0,1
2020-06-19,17,198,14,87,0,1
2020-06-20,24,222,2,89,0,1
2020-06-21,13,235,0,89,0,1
2020-06-22,13,248,0,89,0,1
2020-06-23,4,252,4,93,1,2
2020-06-24,18,270,1,94,0,2
2020-06-25,13,283,0,94,0,2
2020-06-26,16,299,10,104,0,2
2020-06-27,12,311,15,119,0,2
2020-06-28,10,321,0,119,0,2
2020-06-29,11,332,19,138,0,2
2020-06-30,12,344,0,138,0,2
2020-07-01,3,347,21,159,0,2
2020-07-02,9,356,0,159,0,2
2020-07-03,23,379,0,159,0,2
2020-07-04,16,395,41,200,0,2
2020-07-05,10,405,31,231,0,2
2020-07-06,11,416,10,241,0,2
2020-07-07,11,427,6,247,0,2
2020-07-08,8,435,23,270,0,2
2020-07-09,10,445,10,280,0,2
2020-07-10,28,473,0,280,0,2
