dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-10,0,0,2,2,0,0
2020-03-24,0,0,1,3,0,0
2020-04-03,0,0,1,4,0,0
2020-04-22,1,1,0,4,0,0
2020-04-23,2,3,0,4,0,0
2020-04-25,3,6,0,4,0,0
2020-04-26,5,11,0,4,0,0
2020-04-27,6,17,0,4,0,0
2020-05-03,1,18,0,4,0,0
2020-05-04,0,18,12,16,0,0
2020-05-06,0,18,5,21,0,0
2020-05-12,1,19,0,21,0,0
2020-05-13,1,20,0,21,0,0
2020-05-18,2,22,0,21,0,0
2020-05-21,3,25,1,22,0,0
2020-05-22,2,27,0,22,0,0
2020-05-23,2,29,1,23,0,0
2020-05-25,2,31,0,23,0,0
2020-05-26,6,37,1,24,0,0
2020-05-28,3,40,0,24,0,0
2020-05-29,1,41,0,24,1,1
2020-05-30,1,42,1,25,0,1
2020-06-01,0,42,3,28,0,1
2020-06-02,6,48,7,35,0,1
2020-06-03,8,56,2,37,0,1
2020-06-04,5,61,0,37,0,1
2020-06-05,1,62,0,37,0,1
2020-06-06,2,64,0,37,0,1
2020-06-07,3,67,1,38,0,1
2020-06-08,3,70,0,38,0,1
2020-06-09,8,78,2,40,0,1
2020-06-10,3,81,2,42,0,1
2020-06-11,2,83,0,42,0,1
2020-06-12,3,86,1,43,0,1
2020-06-13,1,87,2,45,0,1
2020-06-14,3,90,2,47,0,1
2020-06-15,10,100,0,47,0,1
2020-06-16,4,104,3,50,0,1
2020-06-17,4,108,2,52,0,1
2020-06-18,11,119,2,54,0,1
2020-06-19,7,126,6,60,0,1
2020-06-20,11,137,0,60,0,1
2020-06-21,10,147,3,63,0,1
2020-06-22,13,160,4,67,0,1
2020-06-23,8,168,11,78,0,1
2020-06-24,7,175,3,81,0,1
2020-06-25,2,177,2,83,0,1
2020-06-26,18,195,2,85,0,1
2020-06-27,15,210,7,92,0,1
2020-06-28,5,215,6,98,0,1
2020-06-29,0,215,8,106,0,1
2020-06-30,3,218,6,112,0,1
2020-07-01,4,222,6,118,0,1
2020-07-02,9,231,1,119,0,1
2020-07-03,14,245,16,135,0,1
2020-07-04,6,251,10,145,0,1
2020-07-05,8,259,3,148,0,1
2020-07-06,6,265,11,159,0,1
2020-07-07,3,268,1,160,0,1
2020-07-08,17,285,0,160,0,1
2020-07-09,7,292,8,168,0,1
2020-07-10,7,299,9,177,0,1
