dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-22,1,1,1,1,0,0
2020-03-24,2,3,0,1,0,0
2020-03-25,1,4,0,1,0,0
2020-03-27,0,4,1,2,0,0
2020-04-01,0,4,1,3,0,0
2020-04-02,1,5,0,3,0,0
2020-04-03,0,5,1,4,0,0
2020-04-05,5,10,1,5,0,0
2020-04-08,0,10,2,7,0,0
2020-04-10,0,10,2,9,0,0
2020-04-11,1,11,0,9,0,0
2020-04-12,0,11,1,10,0,0
2020-04-14,3,14,0,10,0,0
2020-04-15,0,14,2,12,0,0
2020-04-16,2,16,0,12,0,0
2020-04-17,1,17,0,12,0,0
2020-04-18,1,18,0,12,0,0
2020-04-21,0,18,4,16,0,0
2020-04-22,2,20,0,16,0,0
2020-04-23,2,22,0,16,0,0
2020-04-25,0,22,2,18,0,0
2020-04-27,0,22,4,22,0,0
2020-04-29,0,22,3,25,0,0
2020-04-30,0,22,1,26,0,0
2020-05-04,0,22,2,28,0,0
2020-05-09,0,22,0,28,0,0
2020-05-13,1,23,0,28,0,0
2020-05-14,1,24,0,28,0,0
2020-05-15,2,26,0,28,0,0
2020-05-16,3,29,0,28,0,0
2020-05-17,2,31,0,28,0,0
2020-05-18,2,33,0,28,0,0
2020-05-20,1,34,0,28,0,0
2020-05-21,0,34,1,29,0,0
2020-05-22,5,39,0,29,0,0
2020-05-23,4,43,0,29,0,0
2020-05-24,1,44,0,29,0,0
2020-05-25,4,48,0,29,0,0
2020-05-26,0,48,-1,28,0,0
2020-05-27,2,50,0,28,0,0
2020-05-28,6,56,0,28,0,0
2020-05-29,2,58,4,32,0,0
2020-05-30,4,62,0,32,0,0
2020-05-31,2,64,4,36,0,0
2020-06-01,0,64,0,36,1,1
2020-06-02,5,69,0,36,0,1
2020-06-03,7,76,5,41,0,1
2020-06-04,10,86,6,47,0,1
2020-06-05,4,90,0,47,0,1
2020-06-06,4,94,7,54,0,1
2020-06-07,6,100,0,54,0,1
2020-06-08,13,113,0,54,0,1
2020-06-09,7,120,3,57,0,1
2020-06-10,10,130,3,60,0,1
2020-06-11,1,131,5,65,0,1
2020-06-12,4,135,2,67,0,1
2020-06-13,12,147,2,69,0,1
2020-06-14,8,155,1,70,0,1
2020-06-15,6,161,4,74,0,1
2020-06-16,4,165,0,74,0,1
2020-06-17,6,171,11,85,0,1
2020-06-18,5,176,1,86,0,1
2020-06-19,6,182,3,89,0,1
2020-06-20,12,194,11,100,0,1
2020-06-21,10,204,4,104,0,1
2020-06-22,5,209,8,112,0,1
2020-06-23,6,215,0,112,0,1
2020-06-24,3,218,33,145,0,1
2020-06-25,7,225,6,151,0,1
2020-06-26,7,232,11,162,0,1
2020-06-27,8,240,0,162,0,1
2020-06-28,7,247,6,168,0,1
2020-06-29,9,256,8,176,0,1
2020-06-30,4,260,2,178,0,1
2020-07-01,6,266,12,190,1,2
2020-07-02,7,273,0,190,0,2
2020-07-03,14,287,11,201,0,2
2020-07-04,8,295,1,202,0,2
2020-07-05,20,315,5,207,0,2
2020-07-06,15,330,5,212,0,2
2020-07-07,15,345,5,217,0,2
2020-07-08,15,360,6,223,0,2
2020-07-09,8,368,1,224,0,2
2020-07-10,12,380,0,224,0,2
