dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-16,1,1,1,1,0,0
2020-03-22,2,3,0,1,0,0
2020-03-24,1,4,0,1,0,0
2020-03-26,2,6,1,2,0,0
2020-03-28,1,7,0,2,0,0
2020-03-29,1,8,0,2,0,0
2020-04-01,2,10,0,2,0,0
2020-04-02,1,11,1,3,0,0
2020-04-06,2,13,0,3,0,0
2020-04-07,1,14,0,3,0,0
2020-04-09,2,16,2,5,0,0
2020-04-10,2,18,0,5,0,0
2020-04-12,0,18,6,11,0,0
2020-04-14,0,18,1,12,0,0
2020-04-16,0,18,1,13,0,0
2020-04-17,0,18,1,14,0,0
2020-04-19,0,18,1,15,0,0
2020-04-21,1,19,0,15,0,0
2020-04-22,1,20,0,15,0,0
2020-04-23,0,20,1,16,0,0
2020-04-24,0,20,3,19,1,1
2020-04-26,0,20,1,20,0,1
2020-04-27,1,21,1,21,0,1
2020-04-30,1,22,1,22,0,1
2020-05-04,0,22,2,24,0,1
2020-05-09,2,24,0,24,0,1
2020-05-10,1,25,0,24,0,1
2020-05-11,1,26,0,24,0,1
2020-05-12,3,29,0,24,0,1
2020-05-13,3,32,0,24,0,1
2020-05-14,5,37,0,24,0,1
2020-05-15,4,41,0,24,0,1
2020-05-16,2,43,0,24,0,1
2020-05-17,4,47,0,24,0,1
2020-05-18,1,48,0,24,0,1
2020-05-19,3,51,0,24,0,1
2020-05-20,4,55,0,24,0,1
2020-05-21,5,60,4,28,0,1
2020-05-22,4,64,2,30,0,1
2020-05-23,8,72,0,30,0,1
2020-05-24,5,77,0,30,0,1
2020-05-25,0,77,1,31,0,1
2020-05-26,5,82,2,33,0,1
2020-05-27,0,82,5,38,0,1
2020-05-28,8,90,2,40,0,1
2020-05-29,5,95,1,41,0,1
2020-05-30,0,95,2,43,0,1
2020-05-31,3,98,2,45,0,1
2020-06-01,14,112,7,52,0,1
2020-06-02,15,127,1,53,0,1
2020-06-03,11,138,0,53,0,1
2020-06-04,8,146,9,62,1,2
2020-06-05,18,164,0,62,0,2
2020-06-06,12,176,0,62,1,3
2020-06-07,27,203,1,63,0,3
2020-06-08,14,217,0,63,0,3
2020-06-09,6,223,0,63,0,3
2020-06-10,7,230,0,63,0,3
2020-06-11,10,240,2,65,0,3
2020-06-12,14,254,0,65,0,3
2020-06-13,15,269,7,72,0,3
2020-06-14,3,272,5,77,0,3
2020-06-15,6,278,10,87,0,3
2020-06-16,15,293,6,93,0,3
2020-06-17,11,304,2,95,0,3
2020-06-18,4,308,2,97,0,3
2020-06-19,18,326,15,112,0,3
2020-06-20,5,331,1,113,0,3
2020-06-21,10,341,28,141,0,3
2020-06-22,17,358,23,164,0,3
2020-06-23,11,369,16,180,0,3
2020-06-24,10,379,7,187,0,3
2020-06-25,6,385,11,198,0,3
2020-06-26,16,401,18,216,0,3
2020-06-27,47,448,22,238,0,3
2020-06-28,5,453,0,238,0,3
2020-06-29,14,467,7,245,1,4
2020-06-30,32,499,22,267,0,4
2020-07-01,34,533,14,281,0,4
2020-07-02,24,557,56,337,0,4
2020-07-03,35,592,10,347,0,4
2020-07-04,37,629,7,354,0,4
2020-07-05,26,655,28,382,0,4
2020-07-06,35,690,13,395,1,5
2020-07-07,63,753,10,405,0,5
2020-07-08,46,799,12,417,0,5
2020-07-09,55,854,6,423,0,5
2020-07-10,41,895,18,441,0,5
