dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-08,0,0,5,5,0,0
2020-03-10,1,1,3,8,0,0
2020-03-23,1,2,0,8,0,0
2020-03-25,2,4,0,8,0,0
2020-03-31,0,4,2,10,0,0
2020-04-02,1,5,0,10,0,0
2020-04-03,0,5,1,11,0,0
2020-04-05,1,6,0,11,0,0
2020-04-06,1,7,0,11,0,0
2020-04-08,1,8,0,11,0,0
2020-04-12,1,9,0,11,0,0
2020-04-13,0,9,3,14,0,0
2020-04-24,0,9,3,17,0,0
2020-04-29,0,9,1,18,0,0
2020-04-30,0,9,1,19,0,0
2020-05-06,0,9,1,20,0,0
2020-05-12,1,10,0,20,0,0
2020-05-14,1,11,0,20,0,0
2020-05-18,2,13,0,20,0,0
2020-05-19,1,14,0,20,0,0
2020-05-20,2,16,0,20,0,0
2020-05-22,1,17,0,20,0,0
2020-05-24,2,19,0,20,0,0
2020-05-25,3,22,0,20,0,0
2020-05-27,3,25,0,20,0,0
2020-05-28,6,31,0,20,0,0
2020-05-29,5,36,0,20,0,0
2020-05-31,4,40,2,22,0,0
2020-06-01,4,44,1,23,0,0
2020-06-02,1,45,1,24,0,0
2020-06-03,2,47,2,26,0,0
2020-06-04,14,61,1,27,0,0
2020-06-05,11,72,0,27,0,0
2020-06-06,9,81,0,27,0,0
2020-06-07,13,94,1,28,0,0
2020-06-08,3,97,0,28,0,0
2020-06-09,7,104,6,34,0,0
2020-06-10,3,107,6,40,0,0
2020-06-11,5,112,1,41,0,0
2020-06-12,7,119,0,41,0,0
2020-06-13,1,120,1,42,0,0
2020-06-14,2,122,0,42,0,0
2020-06-15,11,133,0,42,0,0
2020-06-16,6,139,4,46,0,0
2020-06-17,1,140,6,52,0,0
2020-06-18,11,151,3,55,0,0
2020-06-19,9,160,0,55,0,0
2020-06-20,17,177,12,67,0,0
2020-06-21,8,185,4,71,0,0
2020-06-22,4,189,0,71,0,0
2020-06-23,27,216,6,77,0,0
2020-06-24,25,241,1,78,0,0
2020-06-25,13,254,9,87,0,0
2020-06-26,4,258,0,87,0,0
2020-06-27,6,264,17,104,0,0
2020-06-28,3,267,2,106,0,0
2020-06-29,13,280,0,106,0,0
2020-06-30,1,281,0,106,0,0
2020-07-01,6,287,5,111,0,0
2020-07-02,27,314,0,111,0,0
2020-07-03,7,321,29,140,0,0
2020-07-04,22,343,20,160,0,0
2020-07-05,3,346,10,170,0,0
2020-07-06,26,372,27,197,0,0
2020-07-07,12,384,19,216,0,0
2020-07-08,7,391,4,220,0,0
2020-07-09,7,398,7,227,0,0
2020-07-10,32,430,0,227,0,0
