dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-26,0,0,1,1,0,0
2020-03-30,1,1,1,2,0,0
2020-04-08,0,1,2,4,0,0
2020-04-25,0,1,1,5,0,0
2020-05-02,1,2,0,5,0,0
2020-05-05,3,5,0,5,0,0
2020-05-10,3,8,0,5,0,0
2020-05-11,1,9,0,5,0,0
2020-05-13,2,11,0,5,0,0
2020-05-14,3,14,0,5,0,0
2020-05-15,5,19,0,5,0,0
2020-05-16,0,19,2,7,0,0
2020-05-20,0,19,1,8,0,0
2020-05-21,0,19,3,11,0,0
2020-05-22,1,20,0,11,0,0
2020-05-23,1,21,0,11,0,0
2020-05-24,0,21,3,14,1,1
2020-05-25,0,21,1,15,0,1
2020-05-27,3,24,1,16,0,1
2020-05-29,2,26,5,21,0,1
2020-05-31,3,29,0,21,0,1
2020-06-01,0,29,1,22,0,1
2020-06-02,6,35,0,22,0,1
2020-06-04,2,37,2,24,0,1
2020-06-05,3,40,0,24,0,1
2020-06-08,2,42,2,26,0,1
2020-06-09,6,48,1,27,0,1
2020-06-10,4,52,6,33,0,1
2020-06-13,1,53,1,34,0,1
2020-06-14,1,54,1,35,0,1
2020-06-15,1,55,0,35,0,1
2020-06-16,0,55,5,40,0,1
2020-06-17,3,58,1,41,0,1
2020-06-18,0,58,2,43,0,1
2020-06-19,4,62,0,43,0,1
2020-06-20,5,67,2,45,0,1
2020-06-22,5,72,0,45,0,1
2020-06-23,2,74,3,48,0,1
2020-06-24,2,76,0,48,0,1
2020-06-25,2,78,0,48,0,1
2020-06-26,5,83,0,48,0,1
2020-06-27,5,88,0,48,0,1
2020-06-28,5,93,1,49,0,1
2020-06-30,0,93,4,53,0,1
2020-07-01,3,96,3,56,0,1
2020-07-02,1,97,0,56,0,1
2020-07-03,1,98,10,66,0,1
2020-07-04,2,100,0,66,0,1
2020-07-05,6,106,6,72,0,1
2020-07-06,8,114,0,72,0,1
2020-07-07,3,117,4,76,0,1
2020-07-08,14,131,0,76,0,1
2020-07-09,7,138,3,79,0,1
2020-07-10,0,138,4,83,0,1
