dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-17,1,1,0,0,0,0
2020-03-21,1,2,0,0,0,0
2020-04-03,1,3,0,0,0,0
2020-04-13,1,4,0,0,0,0
2020-04-16,0,4,1,1,0,0
2020-04-23,0,4,1,2,0,0
2020-04-25,1,5,0,2,0,0
2020-04-28,2,7,0,2,0,0
2020-05-02,1,8,0,2,0,0
2020-05-03,1,9,0,2,0,0
2020-05-10,0,9,3,5,0,0
2020-05-15,0,9,2,7,0,0
2020-05-22,2,11,0,7,0,0
2020-05-23,3,14,0,7,0,0
2020-05-24,3,17,0,7,0,0
2020-05-25,1,18,0,7,0,0
2020-05-28,17,35,0,7,0,0
2020-05-30,1,36,0,7,0,0
2020-05-31,0,36,4,11,0,0
2020-06-02,3,39,0,11,0,0
2020-06-03,7,46,0,11,0,0
2020-06-04,3,49,0,11,0,0
2020-06-05,2,51,0,11,0,0
2020-06-06,2,53,0,11,0,0
2020-06-07,1,54,0,11,0,0
2020-06-11,0,54,4,15,0,0
2020-06-12,69,123,4,19,0,0
2020-06-13,198,321,0,19,0,0
2020-06-14,104,425,0,19,0,0
2020-06-15,3,428,1,20,0,0
2020-06-16,50,478,3,23,0,0
2020-06-17,27,505,1,24,0,0
2020-06-18,0,505,3,27,0,0
2020-06-19,50,555,0,27,0,0
2020-06-20,68,623,22,49,0,0
2020-06-21,0,623,17,66,0,0
2020-06-22,2,625,0,66,0,0
2020-06-23,65,690,0,66,0,0
2020-06-24,0,690,119,185,0,0
2020-06-25,0,690,68,253,0,0
2020-06-26,2,692,75,328,0,0
2020-06-27,9,701,70,398,0,0
2020-06-28,0,701,32,430,0,0
2020-06-29,1,702,21,451,0,0
2020-06-30,0,702,32,483,0,0
2020-07-01,12,714,46,529,0,0
2020-07-02,0,714,16,545,0,0
2020-07-03,0,714,36,581,0,0
2020-07-04,0,714,40,621,0,0
2020-07-06,0,714,9,630,0,0
2020-07-07,0,714,17,647,0,0
2020-07-08,0,714,4,651,0,0
2020-07-09,0,714,15,666,0,0
2020-07-10,0,714,2,668,0,0
