dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-07,2,2,0,0,0,0
2020-03-11,1,3,0,0,0,0
2020-03-17,4,7,0,0,0,0
2020-03-20,2,9,0,0,0,0
2020-03-21,2,11,0,0,0,0
2020-04-10,1,12,0,0,0,0
2020-04-13,1,13,0,0,0,0
2020-04-15,1,14,0,0,0,0
2020-04-16,0,14,1,1,0,0
2020-04-23,0,14,1,2,0,0
2020-04-25,1,15,0,2,0,0
2020-04-29,0,15,1,3,0,0
2020-05-03,18,33,0,3,0,0
2020-05-08,0,33,1,4,0,0
2020-05-11,0,33,1,5,0,0
2020-05-13,1,34,0,5,0,0
2020-05-18,0,34,19,24,0,0
2020-05-20,1,35,0,24,0,0
2020-05-27,1,36,0,24,0,0
2020-05-28,3,39,0,24,0,0
2020-05-30,2,41,0,24,0,0
2020-06-02,1,42,0,24,1,1
2020-06-03,2,44,1,25,0,1
2020-06-04,1,45,0,25,0,1
2020-06-05,1,46,0,25,0,1
2020-06-06,0,46,2,27,0,1
2020-06-07,3,49,0,27,0,1
2020-06-09,5,54,0,27,0,1
2020-06-10,7,61,0,27,0,1
2020-06-11,20,81,0,27,0,1
2020-06-12,35,116,0,27,0,1
2020-06-13,0,116,10,37,0,1
2020-06-14,8,124,12,49,0,1
2020-06-15,3,127,1,50,0,1
2020-06-16,44,171,0,50,0,1
2020-06-17,11,182,6,56,0,1
2020-06-19,7,189,0,56,0,1
2020-06-20,24,213,0,56,0,1
2020-06-21,1,214,0,56,0,1
2020-06-22,8,222,2,58,0,1
2020-06-23,20,242,12,70,0,1
2020-06-24,0,242,7,77,0,1
2020-06-25,9,251,16,93,0,1
2020-06-26,3,254,34,127,0,1
2020-06-27,5,259,17,144,0,1
2020-06-28,3,262,0,144,0,1
2020-06-29,0,262,9,153,0,1
2020-06-30,9,271,0,153,0,1
2020-07-01,5,276,0,153,0,1
2020-07-02,1,277,19,172,0,1
2020-07-03,11,288,11,183,0,1
2020-07-04,3,291,10,193,0,1
2020-07-06,0,291,1,194,0,1
2020-07-07,36,327,7,201,0,1
2020-07-08,6,333,24,225,0,1
2020-07-09,8,341,12,237,0,1
2020-07-10,9,350,0,237,0,1
