dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-28,1,1,0,0,1,1
2020-05-11,1,2,0,0,0,1
2020-05-18,1,3,0,0,0,1
2020-05-20,2,5,0,0,0,1
2020-05-21,1,6,1,1,0,1
2020-05-23,4,10,0,1,0,1
2020-05-25,2,12,1,2,0,1
2020-05-30,0,12,2,4,0,1
2020-06-02,0,12,7,11,0,1
2020-06-05,1,13,0,11,0,1
2020-06-08,3,16,0,11,0,1
2020-06-09,16,32,0,11,0,1
2020-06-11,8,40,0,11,0,1
2020-06-13,1,41,0,11,0,1
2020-06-14,0,41,9,20,0,1
2020-06-15,0,41,5,25,0,1
2020-06-16,0,41,10,35,0,1
2020-06-18,0,41,4,39,0,1
2020-06-19,1,42,1,40,0,1
2020-06-22,1,43,0,40,0,1
2020-06-29,1,44,0,40,0,1
2020-06-30,0,44,1,41,0,1
2020-07-01,2,46,1,42,0,1
2020-07-02,2,48,0,42,0,1
2020-07-05,2,50,-9,33,-1,0
2020-07-06,2,52,9,42,1,1
2020-07-07,3,55,0,42,0,1
2020-07-10,3,58,0,42,0,1
