dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-22,1,1,0,0,0,0
2020-03-25,1,2,0,0,0,0
2020-03-27,1,3,0,0,0,0
2020-04-02,5,8,0,0,0,0
2020-04-04,7,15,0,0,0,0
2020-04-05,3,18,0,0,0,0
2020-04-06,43,61,0,0,1,1
2020-04-07,24,85,0,0,0,1
2020-04-08,9,94,0,0,0,1
2020-04-09,4,98,0,0,0,1
2020-04-10,18,116,0,0,0,1
2020-04-11,15,131,0,0,0,1
2020-04-12,3,134,0,0,1,2
2020-04-13,8,142,0,0,0,2
2020-04-14,16,158,0,0,1,3
2020-04-15,9,167,0,0,0,3
2020-04-16,29,196,0,0,0,3
2020-04-17,1,197,0,0,1,4
2020-04-18,16,213,0,0,0,4
2020-04-19,1,214,0,0,0,4
2020-04-20,40,254,0,0,0,4
2020-04-21,31,285,0,0,0,4
2020-04-22,18,303,0,0,0,4
2020-04-23,20,323,0,0,0,4
2020-04-24,37,360,0,0,2,6
2020-04-25,28,388,0,0,0,6
2020-04-26,27,415,0,0,0,6
2020-04-27,13,428,35,35,3,9
2020-04-28,30,458,0,35,1,10
2020-04-29,25,483,23,58,1,11
2020-04-30,25,508,0,58,1,12
2020-05-01,18,526,21,79,0,12
2020-05-02,0,526,29,108,0,12
2020-05-03,6,532,25,133,0,12
2020-05-04,31,563,29,162,0,12
2020-05-05,8,571,22,184,1,13
2020-05-06,34,605,29,213,4,17
2020-05-07,47,652,1,214,2,19
2020-05-08,27,679,36,250,2,21
2020-05-09,25,704,23,273,5,26
2020-05-10,39,743,16,289,1,27
2020-05-11,31,774,24,313,3,30
2020-05-12,30,804,43,356,1,31
2020-05-13,54,858,28,384,1,32
2020-05-14,42,900,21,405,0,32
2020-05-15,26,926,16,421,0,32
2020-05-16,28,954,0,421,0,32
2020-05-17,38,992,39,460,3,35
2020-05-18,38,1030,0,460,1,36
2020-05-19,16,1046,68,528,0,36
2020-05-20,42,1088,38,566,1,37
2020-05-21,27,1115,20,586,0,37
2020-05-22,38,1153,18,604,0,37
2020-05-23,38,1191,32,636,2,39
2020-05-24,50,1241,48,684,3,42
2020-05-25,30,1271,15,699,3,45
2020-05-26,32,1303,23,722,1,46
2020-05-27,53,1356,27,749,2,48
2020-05-28,17,1373,26,775,0,48
2020-05-29,22,1395,24,799,3,51
2020-05-30,27,1422,21,820,2,53
2020-05-31,45,1467,39,859,1,54
2020-06-01,44,1511,0,859,2,56
2020-06-02,20,1531,79,938,1,57
2020-06-03,41,1572,35,973,0,57
2020-06-04,58,1630,34,1007,1,58
2020-06-05,52,1682,46,1053,0,58
2020-06-06,51,1733,40,1093,0,58
2020-06-07,39,1772,52,1145,3,61
2020-06-08,50,1822,60,1205,0,61
2020-06-09,58,1880,0,1205,0,61
2020-06-10,47,1927,29,1234,1,62
2020-06-11,85,2012,48,1282,0,62
2020-06-12,70,2082,29,1311,3,65
2020-06-13,63,2145,22,1333,0,65
2020-06-14,50,2195,56,1389,3,68
2020-06-15,40,2235,23,1412,0,68
2020-06-16,48,2283,31,1443,1,69
2020-06-17,49,2332,40,1483,0,69
2020-06-18,50,2382,64,1547,0,69
2020-06-19,55,2437,13,1560,4,73
2020-06-20,20,2457,26,1586,1,74
2020-06-21,47,2504,19,1605,5,79
2020-06-22,23,2527,63,1668,2,81
2020-06-23,29,2556,18,1686,1,82
2020-06-24,45,2601,35,1721,5,87
2020-06-25,32,2633,40,1761,3,90
2020-06-26,31,2664,86,1847,0,90
2020-06-27,41,2705,43,1890,0,90
2020-06-28,35,2740,26,1916,0,90
2020-06-29,24,2764,52,1968,0,90
2020-06-30,25,2789,105,2073,3,93
2020-07-01,41,2830,80,2153,4,97
2020-07-02,54,2884,45,2198,3,100
2020-07-03,49,2933,47,2245,1,101
2020-07-04,51,2984,35,2280,0,101
2020-07-05,61,3045,16,2296,4,105
2020-07-06,65,3110,30,2326,3,108
2020-07-07,45,3155,36,2362,1,109
2020-07-08,70,3225,31,2393,2,111
2020-07-09,53,3278,27,2420,1,112
2020-07-10,57,3335,36,2456,0,112
