dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-15,1,1,0,0,0,0
2020-05-20,4,5,0,0,0,0
2020-05-21,1,6,0,0,0,0
2020-05-24,2,8,0,0,0,0
2020-05-26,2,10,1,1,0,0
2020-05-27,6,16,0,1,0,0
2020-05-30,3,19,0,1,0,0
2020-05-31,5,24,2,3,0,0
2020-06-01,1,25,6,9,0,0
2020-06-02,1,26,3,12,0,0
2020-06-03,0,26,4,16,0,0
2020-06-07,0,26,2,18,0,0
2020-06-09,0,26,5,23,0,0
2020-06-10,1,27,0,23,0,0
2020-06-13,0,27,2,25,0,0
2020-06-14,2,29,1,26,0,0
2020-06-21,1,30,1,27,0,0
2020-06-24,1,31,0,27,0,0
2020-06-25,1,32,0,27,0,0
2020-06-26,1,33,0,27,0,0
2020-06-27,1,34,2,29,0,0
2020-06-28,2,36,0,29,0,0
2020-06-29,2,38,0,29,0,0
2020-06-30,2,40,0,29,0,0
2020-07-01,2,42,0,29,0,0
2020-07-02,3,45,0,29,0,0
2020-07-03,1,46,1,30,0,0
2020-07-04,2,48,0,30,0,0
2020-07-05,4,52,2,32,0,0
2020-07-07,1,53,0,32,0,0
2020-07-08,0,53,2,34,0,0
2020-07-09,1,54,6,40,0,0
