dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-15,3,3,0,0,0,0
2020-05-21,1,4,0,0,0,0
2020-05-23,1,5,0,0,0,0
2020-05-24,1,6,3,3,0,0
2020-05-25,1,7,0,3,0,0
2020-05-26,0,7,0,3,1,1
2020-05-27,1,8,0,3,0,1
2020-05-30,0,8,1,4,0,1
2020-05-31,0,8,1,5,0,1
2020-06-02,3,11,0,5,0,1
2020-06-04,0,11,1,6,0,1
2020-06-09,9,20,0,6,0,1
2020-06-12,0,20,1,7,0,1
2020-06-13,1,21,3,10,0,1
2020-06-17,0,21,8,18,0,1
2020-06-21,0,21,1,19,0,1
2020-06-23,0,21,1,20,0,1
2020-06-28,2,23,0,20,0,1
2020-06-29,2,25,0,20,0,1
2020-07-01,4,29,0,20,0,1
2020-07-02,14,43,0,20,0,1
2020-07-04,3,46,0,20,0,1
2020-07-05,1,47,0,20,0,1
2020-07-06,0,47,5,25,0,1
2020-07-08,6,53,17,42,0,1
2020-07-10,7,60,2,44,0,1
