dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-08,1,1,0,0,0,0
2020-05-23,1,2,1,1,0,0
2020-05-31,1,3,0,1,0,0
2020-06-03,1,4,0,1,0,0
2020-06-06,3,7,0,1,0,0
2020-06-07,0,7,1,2,0,0
2020-06-10,2,9,0,2,0,0
2020-06-12,1,10,0,2,0,0
2020-06-14,0,10,0,2,1,1
2020-06-15,0,10,2,4,0,1
2020-06-16,2,12,0,4,0,1
2020-06-17,0,12,3,7,0,1
2020-06-20,0,12,1,8,0,1
2020-06-23,0,12,1,9,0,1
2020-06-26,2,14,0,9,0,1
2020-06-28,1,15,0,9,0,1
2020-07-01,2,17,0,9,0,1
2020-07-02,0,17,1,10,0,1
2020-07-03,2,19,0,10,0,1
2020-07-04,3,22,0,10,0,1
2020-07-05,2,24,1,11,0,1
2020-07-06,1,25,1,12,1,2
2020-07-08,3,28,1,13,0,2
2020-07-10,1,29,0,13,0,2
