dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,1,1,0,0,0,0
2020-03-28,1,2,0,0,0,0
2020-04-07,4,6,0,0,0,0
2020-04-22,1,7,0,0,0,0
2020-05-01,1,8,0,0,0,0
2020-05-06,2,10,0,0,0,0
2020-05-07,5,15,0,0,0,0
2020-05-08,0,15,1,1,0,0
2020-05-09,5,20,0,1,0,0
2020-05-10,5,25,1,2,0,0
2020-05-11,4,29,0,2,0,0
2020-05-12,3,32,0,2,0,0
2020-05-13,2,34,1,3,1,1
2020-05-15,5,39,0,3,0,1
2020-05-16,12,51,2,5,0,1
2020-05-17,10,61,5,10,0,1
2020-05-18,7,68,4,14,0,1
2020-05-19,7,75,4,18,0,1
2020-05-20,5,80,3,21,0,1
2020-05-21,6,86,4,25,0,1
2020-05-22,7,93,2,27,0,1
2020-05-23,2,95,0,27,0,1
2020-05-24,6,101,5,32,0,1
2020-05-25,9,110,2,34,1,2
2020-05-26,10,120,4,38,0,2
2020-05-27,2,122,7,45,0,2
2020-05-28,1,123,1,46,0,2
2020-05-29,0,123,19,65,0,2
2020-05-30,0,123,5,70,0,2
2020-05-31,1,124,0,70,0,2
2020-06-01,9,133,4,74,0,2
2020-06-02,9,142,4,78,0,2
2020-06-03,27,169,4,82,0,2
2020-06-04,7,176,10,92,0,2
2020-06-05,3,179,11,103,0,2
2020-06-06,10,189,0,103,0,2
2020-06-07,12,201,10,113,0,2
2020-06-08,13,214,0,113,0,2
2020-06-09,5,219,0,113,0,2
2020-06-10,12,231,0,113,0,2
2020-06-11,5,236,10,123,0,2
2020-06-12,16,252,10,133,0,2
2020-06-13,2,254,28,161,0,2
2020-06-14,6,260,7,168,0,2
2020-06-15,2,262,3,171,0,2
2020-06-16,3,265,8,179,0,2
2020-06-17,10,275,13,192,0,2
2020-06-18,5,280,14,206,0,2
2020-06-19,1,281,5,211,0,2
2020-06-20,8,289,10,221,0,2
2020-06-21,0,289,16,237,0,2
2020-06-22,6,295,8,245,0,2
2020-06-23,6,301,2,247,0,2
2020-06-24,11,312,6,253,0,2
2020-06-25,3,315,4,257,0,2
2020-06-26,9,324,4,261,0,2
2020-06-27,13,337,10,271,0,2
2020-06-28,17,354,3,274,0,2
2020-06-29,3,357,0,274,1,3
2020-06-30,14,371,6,280,0,3
2020-07-01,25,396,5,285,0,3
2020-07-02,25,421,3,288,0,3
2020-07-03,18,439,0,288,0,3
2020-07-04,28,467,14,302,0,3
2020-07-05,64,531,15,317,0,3
2020-07-06,55,586,12,329,0,3
2020-07-07,61,647,12,341,0,3
2020-07-08,68,715,9,350,0,3
2020-07-09,58,773,35,385,0,3
2020-07-10,60,833,25,410,0,3
