dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-09,6,6,0,0,0,0
2020-04-11,4,10,0,0,0,0
2020-04-13,5,15,0,0,0,0
2020-04-15,1,16,0,0,0,0
2020-04-17,3,19,0,0,0,0
2020-04-18,4,23,0,0,0,0
2020-04-20,1,24,0,0,0,0
2020-04-22,0,24,1,1,0,0
2020-04-23,1,25,0,1,0,0
2020-04-24,1,26,0,1,0,0
2020-04-25,1,27,0,1,1,1
2020-04-26,2,29,8,9,1,2
2020-04-27,1,30,0,9,0,2
2020-04-28,1,31,0,9,0,2
2020-04-29,1,32,5,14,0,2
2020-04-30,0,32,0,14,1,3
2020-05-01,0,32,3,17,0,3
2020-05-02,0,32,2,19,1,4
2020-05-03,1,33,0,19,0,4
2020-05-04,0,33,0,19,-1,3
2020-05-06,0,33,3,22,0,3
2020-05-08,0,33,1,23,0,3
2020-05-09,0,33,1,24,0,3
2020-05-10,1,34,1,25,0,3
2020-05-11,0,34,2,27,0,3
2020-05-12,0,34,3,30,0,3
2020-05-13,0,34,1,31,0,3
2020-05-14,0,34,1,32,0,3
2020-05-17,0,34,1,33,0,3
2020-05-25,0,34,1,34,0,3
2020-06-18,4,38,0,34,0,3
2020-06-28,0,38,3,37,0,3
2020-06-29,0,38,1,38,0,3
2020-07-05,1,39,0,38,0,3
2020-07-06,1,40,0,38,1,4
2020-07-07,1,41,0,38,0,4
2020-07-09,1,42,0,38,0,4
2020-07-10,3,45,1,39,0,4
