dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-25,4,4,0,0,0,0
2020-03-26,5,9,0,0,0,0
2020-03-27,4,13,0,0,1,1
2020-03-28,6,19,0,0,0,1
2020-03-29,0,19,0,0,1,2
2020-03-30,7,26,0,0,1,3
2020-03-31,18,44,0,0,1,4
2020-04-01,32,76,0,0,1,5
2020-04-02,2,78,0,0,2,7
2020-04-03,35,113,0,0,0,7
2020-04-04,14,127,0,0,2,9
2020-04-05,7,134,0,0,2,11
2020-04-06,16,150,0,0,1,12
2020-04-07,0,150,0,0,3,15
2020-04-08,22,172,0,0,0,15
2020-04-09,48,220,0,0,1,16
2020-04-10,14,234,0,0,0,16
2020-04-11,46,280,0,0,4,20
2020-04-12,30,310,0,0,2,22
2020-04-13,17,327,0,0,1,23
2020-04-14,83,410,0,0,2,25
2020-04-15,133,543,0,0,0,25
2020-04-16,163,706,0,0,2,27
2020-04-17,134,840,0,0,8,35
2020-04-18,50,890,0,0,0,35
2020-04-19,0,890,0,0,2,37
2020-04-20,7,897,0,0,0,37
2020-04-21,17,914,0,0,0,37
2020-04-22,8,922,3,3,0,37
2020-04-23,22,944,0,3,1,38
2020-04-24,84,1028,0,3,2,40
2020-04-25,56,1084,0,3,2,42
2020-04-26,91,1175,0,3,0,42
2020-04-27,31,1206,16,19,3,45
2020-04-28,165,1371,11,30,3,48
2020-04-29,104,1475,43,73,2,50
2020-04-30,10,1485,0,73,3,53
2020-05-01,29,1514,0,73,4,57
2020-05-02,30,1544,52,125,2,59
2020-05-03,23,1567,121,246,2,61
2020-05-04,43,1610,12,258,1,62
2020-05-05,43,1653,106,364,2,64
2020-05-06,27,1680,23,387,2,66
2020-05-07,18,1698,104,491,2,68
2020-05-08,28,1726,68,559,3,71
2020-05-09,53,1779,69,628,1,72
2020-05-10,78,1857,159,787,2,74
2020-05-11,77,1934,7,794,1,75
2020-05-12,81,2015,28,822,2,77
2020-05-13,91,2106,48,870,3,80
2020-05-14,131,2237,72,942,1,81
2020-05-15,61,2298,52,994,2,83
2020-05-16,79,2377,2,996,1,84
2020-05-17,92,2469,19,1015,1,85
2020-05-18,95,2564,0,1015,1,86
2020-05-19,72,2636,39,1054,2,88
2020-05-20,78,2714,16,1070,2,90
2020-05-21,59,2773,39,1109,2,92
2020-05-22,76,2849,67,1176,2,94
2020-05-23,83,2932,101,1277,2,96
2020-05-24,75,3007,31,1308,3,99
2020-05-25,56,3063,64,1372,2,101
2020-05-26,39,3102,8,1380,1,102
2020-05-27,79,3181,53,1433,2,104
2020-05-28,78,3259,18,1451,3,107
2020-05-29,84,3343,118,1569,4,111
2020-05-30,87,3430,102,1671,3,114
2020-05-31,55,3485,176,1847,3,117
2020-06-01,53,3538,39,1886,3,120
2020-06-02,31,3569,39,1925,3,123
2020-06-03,27,3596,103,2028,3,126
2020-06-04,36,3632,52,2080,4,130
2020-06-05,54,3686,59,2139,4,134
2020-06-06,35,3721,81,2220,4,138
2020-06-07,27,3748,66,2286,3,141
2020-06-08,36,3784,64,2350,1,142
2020-06-09,45,3829,112,2462,2,144
2020-06-10,51,3880,25,2487,2,146
2020-06-11,41,3921,27,2514,2,148
2020-06-12,50,3971,55,2569,1,149
2020-06-13,57,4028,28,2597,2,151
2020-06-14,34,4062,104,2701,4,155
2020-06-15,6,4068,101,2802,4,159
2020-06-16,21,4089,76,2878,4,163
2020-06-17,44,4133,66,2944,4,167
2020-06-18,57,4190,83,3027,3,170
2020-06-19,55,4245,18,3045,4,174
2020-06-20,42,4287,19,3064,4,178
2020-06-21,41,4328,17,3081,4,182
2020-06-22,44,4372,50,3131,4,186
2020-06-23,54,4426,43,3174,2,188
2020-06-24,34,4460,12,3186,4,192
2020-06-25,46,4506,54,3240,4,196
2020-06-26,36,4542,23,3263,3,199
2020-06-27,32,4574,30,3293,4,203
2020-06-28,40,4614,18,3311,4,207
2020-06-29,49,4663,20,3331,4,211
2020-06-30,45,4708,17,3348,3,214
2020-07-01,25,4733,100,3448,3,217
2020-07-02,19,4752,24,3472,4,221
2020-07-03,23,4775,88,3560,2,223
2020-07-04,34,4809,63,3623,3,226
2020-07-05,23,4832,45,3668,3,229
2020-07-06,43,4875,9,3677,2,231
2020-07-07,78,4953,57,3734,3,234
2020-07-08,44,4997,33,3767,3,237
2020-07-09,45,5042,32,3799,3,240
2020-07-10,44,5086,43,3842,3,243
