dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-20,4,4,0,0,0,0
2020-03-22,1,5,0,0,0,0
2020-03-24,1,6,0,0,0,0
2020-03-27,2,8,0,0,0,0
2020-04-05,0,8,3,3,0,0
2020-04-09,1,9,0,3,0,0
2020-04-11,0,9,1,4,0,0
2020-04-13,1,10,0,4,0,0
2020-04-14,2,12,0,4,0,0
2020-04-16,1,13,0,4,0,0
2020-04-18,3,16,0,4,0,0
2020-04-19,4,20,0,4,0,0
2020-04-20,1,21,0,4,0,0
2020-04-21,4,25,0,4,0,0
2020-04-23,4,29,0,4,0,0
2020-04-24,2,31,0,4,0,0
2020-04-25,12,43,0,4,0,0
2020-04-26,16,59,0,4,0,0
2020-04-27,10,69,0,4,0,0
2020-04-28,1,70,0,4,0,0
2020-04-29,8,78,0,4,0,0
2020-04-30,7,85,0,4,0,0
2020-05-01,2,87,0,4,0,0
2020-05-02,5,92,2,6,0,0
2020-05-03,4,96,1,7,0,0
2020-05-04,2,98,2,9,0,0
2020-05-05,8,106,0,9,2,2
2020-05-06,3,109,3,12,0,2
2020-05-07,6,115,0,12,1,3
2020-05-08,1,116,2,14,1,4
2020-05-09,3,119,0,14,0,4
2020-05-10,4,123,11,25,0,4
2020-05-11,10,133,5,30,2,6
2020-05-12,4,137,9,39,0,6
2020-05-13,10,147,5,44,1,7
2020-05-14,10,157,18,62,0,7
2020-05-15,11,168,14,76,0,7
2020-05-16,7,175,6,82,0,7
2020-05-17,0,175,10,92,0,7
2020-05-18,7,182,0,92,0,7
2020-05-19,2,184,6,98,1,8
2020-05-20,2,186,6,104,0,8
2020-05-21,6,192,7,111,0,8
2020-05-22,2,194,1,112,0,8
2020-05-23,5,199,1,113,0,8
2020-05-24,10,209,13,126,0,8
2020-05-25,3,212,12,138,0,8
2020-05-26,1,213,10,148,0,8
2020-05-27,3,216,9,157,0,8
2020-05-28,5,221,6,163,0,8
2020-05-29,5,226,2,165,0,8
2020-05-30,7,233,3,168,0,8
2020-05-31,5,238,5,173,0,8
2020-06-01,3,241,3,176,1,9
2020-06-02,10,251,1,177,0,9
2020-06-03,9,260,12,189,0,9
2020-06-04,3,263,5,194,0,9
2020-06-05,4,267,0,194,0,9
2020-06-06,1,268,1,195,0,9
2020-06-07,4,272,2,197,0,9
2020-06-08,0,272,11,208,0,9
2020-06-09,9,281,4,212,1,10
2020-06-10,2,283,4,216,0,10
2020-06-11,0,283,4,220,0,10
2020-06-12,15,298,3,223,0,10
2020-06-13,9,307,3,226,2,12
2020-06-14,2,309,9,235,0,12
2020-06-15,0,309,4,239,0,12
2020-06-16,8,317,3,242,0,12
2020-06-17,1,318,6,248,0,12
2020-06-18,6,324,7,255,0,12
2020-06-19,5,329,2,257,0,12
2020-06-20,6,335,4,261,0,12
2020-06-21,13,348,5,266,1,13
2020-06-22,12,360,12,278,0,13
2020-06-23,5,365,9,287,0,13
2020-06-24,7,372,6,293,0,13
2020-06-25,6,378,1,294,0,13
2020-06-26,2,380,1,295,0,13
2020-06-27,6,386,8,303,0,13
2020-06-28,9,395,3,306,0,13
2020-06-29,1,396,3,309,0,13
2020-06-30,5,401,3,312,0,13
2020-07-01,4,405,7,319,0,13
2020-07-02,7,412,6,325,0,13
2020-07-03,11,423,8,333,0,13
2020-07-04,7,430,7,340,0,13
2020-07-05,7,437,6,346,0,13
2020-07-06,7,444,6,352,0,13
2020-07-07,7,451,6,358,0,13
2020-07-08,11,462,7,365,0,13
2020-07-09,22,484,7,372,0,13
2020-07-10,12,496,3,375,0,13
