dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-09,1,1,0,0,0,0
2020-04-13,3,4,0,0,0,0
2020-04-16,4,8,0,0,0,0
2020-04-20,15,23,0,0,0,0
2020-04-22,1,24,0,0,0,0
2020-04-24,2,26,0,0,0,0
2020-04-26,1,27,0,0,0,0
2020-04-27,5,32,0,0,0,0
2020-04-28,12,44,0,0,1,1
2020-04-29,2,46,0,0,1,2
2020-04-30,8,54,0,0,0,2
2020-05-01,2,56,0,0,0,2
2020-05-03,0,56,2,2,0,2
2020-05-04,2,58,0,2,1,3
2020-05-05,4,62,5,7,0,3
2020-05-06,0,62,12,19,0,3
2020-05-07,1,63,2,21,0,3
2020-05-08,0,63,2,23,0,3
2020-05-11,0,63,4,27,0,3
2020-05-12,1,64,6,33,0,3
2020-05-13,0,64,8,41,0,3
2020-05-14,0,64,8,49,0,3
2020-05-15,0,64,6,55,0,3
2020-05-19,2,66,3,58,0,3
2020-05-20,0,66,2,60,0,3
2020-05-24,0,66,1,61,0,3
2020-05-25,1,67,0,61,0,3
2020-05-26,0,67,2,63,0,3
2020-06-02,0,67,1,64,0,3
2020-06-04,1,68,0,64,0,3
2020-06-07,2,70,0,64,0,3
2020-06-08,1,71,0,64,0,3
2020-06-09,3,74,0,64,0,3
2020-06-10,1,75,0,64,0,3
2020-06-11,2,77,0,64,0,3
2020-06-12,4,81,0,64,0,3
2020-06-13,1,82,0,64,0,3
2020-06-14,1,83,0,64,0,3
2020-06-15,1,84,1,65,0,3
2020-06-16,0,84,0,65,2,5
2020-06-17,0,84,4,69,0,5
2020-06-19,0,84,7,76,0,5
2020-06-20,6,90,0,76,0,5
2020-06-21,1,91,0,76,0,5
2020-06-22,6,97,1,77,0,5
2020-06-23,5,102,0,77,0,5
2020-06-24,5,107,0,77,0,5
2020-06-25,0,107,2,79,0,5
2020-06-27,1,108,0,79,0,5
2020-06-28,0,108,4,83,0,5
2020-06-29,0,108,1,84,0,5
2020-06-30,1,109,5,89,0,5
2020-07-01,1,110,1,90,0,5
2020-07-02,0,110,3,93,0,5
2020-07-03,1,111,1,94,0,5
2020-07-04,0,111,2,96,0,5
2020-07-05,0,111,7,103,0,5
2020-07-06,0,111,1,104,0,5
2020-07-07,1,112,0,104,0,5
2020-07-10,1,113,0,104,0,5
