dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-10,1,1,0,0,0,0
2020-04-23,4,5,0,0,0,0
2020-04-26,0,5,1,1,0,0
2020-05-05,0,5,1,2,0,0
2020-05-06,0,5,3,5,0,0
2020-05-09,1,6,0,5,1,1
2020-05-11,4,10,0,5,0,1
2020-05-14,4,14,0,5,0,1
2020-05-15,3,17,0,5,0,1
2020-05-16,1,18,0,5,0,1
2020-05-17,1,19,0,5,0,1
2020-05-18,2,21,0,5,0,1
2020-05-19,2,23,0,5,0,1
2020-05-20,21,44,0,5,1,2
2020-05-21,7,51,0,5,0,2
2020-05-22,6,57,0,5,0,2
2020-05-23,2,59,3,8,1,3
2020-05-24,9,68,0,8,0,3
2020-05-25,9,77,4,12,0,3
2020-05-26,9,86,7,19,0,3
2020-05-27,20,106,8,27,0,3
2020-05-28,6,112,9,36,1,4
2020-05-29,27,139,0,36,2,6
2020-05-30,25,164,6,42,1,7
2020-05-31,8,172,26,68,1,8
2020-06-01,8,180,18,86,1,9
2020-06-02,9,189,7,93,0,9
2020-06-03,8,197,0,93,1,10
2020-06-04,10,207,3,96,0,10
2020-06-05,9,216,44,140,0,10
2020-06-06,7,223,2,142,0,10
2020-06-07,4,227,0,142,1,11
2020-06-08,2,229,0,142,1,12
2020-06-09,8,237,5,147,0,12
2020-06-10,5,242,4,151,1,13
2020-06-11,0,242,2,153,0,13
2020-06-12,1,243,9,162,0,13
2020-06-13,4,247,14,176,1,14
2020-06-14,5,252,5,181,1,15
2020-06-15,5,257,8,189,1,16
2020-06-16,5,262,4,193,0,16
2020-06-17,8,270,11,204,2,18
2020-06-18,6,276,4,208,0,18
2020-06-19,2,278,4,212,0,18
2020-06-20,3,281,1,213,0,18
2020-06-21,5,286,1,214,0,18
2020-06-22,6,292,2,216,0,18
2020-06-23,1,293,2,218,1,19
2020-06-24,9,302,4,222,0,19
2020-06-25,6,308,1,223,1,20
2020-06-26,11,319,9,232,0,20
2020-06-27,9,328,8,240,0,20
2020-06-28,9,337,3,243,0,20
2020-06-29,19,356,0,243,1,21
2020-06-30,9,365,0,243,0,21
2020-07-01,11,376,20,263,0,21
2020-07-02,10,386,16,279,0,21
2020-07-03,10,396,7,286,0,21
2020-07-04,10,406,9,295,0,21
2020-07-05,9,415,9,304,1,22
2020-07-06,7,422,8,312,0,22
2020-07-07,1,423,2,314,0,22
2020-07-08,0,423,13,327,0,22
2020-07-09,7,430,9,336,0,22
2020-07-10,6,436,14,350,0,22
