dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-04,1,1,0,0,0,0
2020-05-05,0,1,0,0,1,1
2020-05-09,1,2,0,0,0,1
2020-05-10,1,3,0,0,0,1
2020-05-11,1,4,0,0,0,1
2020-05-12,1,5,0,0,0,1
2020-05-13,2,7,0,0,0,1
2020-05-15,1,8,0,0,0,1
2020-05-19,1,9,0,0,0,1
2020-05-20,1,10,2,2,0,1
2020-05-22,2,12,0,2,0,1
2020-05-24,1,13,0,2,0,1
2020-05-25,1,14,2,4,0,1
2020-05-26,0,14,1,5,0,1
2020-05-27,6,20,0,5,0,1
2020-05-28,1,21,1,6,1,2
2020-05-31,0,21,1,7,0,2
2020-06-02,0,21,5,12,0,2
2020-06-04,0,21,6,18,0,2
2020-06-05,1,22,0,18,0,2
2020-06-06,0,22,1,19,0,2
2020-06-14,0,22,1,20,0,2
2020-06-18,1,23,0,20,0,2
2020-06-20,1,24,0,20,0,2
2020-06-23,1,25,0,20,0,2
2020-06-24,2,27,0,20,0,2
2020-06-25,2,29,0,20,0,2
2020-06-27,2,31,0,20,0,2
2020-06-28,2,33,1,21,0,2
2020-06-30,1,34,0,21,0,2
2020-07-01,2,36,0,21,0,2
2020-07-02,2,38,0,21,0,2
2020-07-03,2,40,0,21,0,2
2020-07-05,3,43,4,25,0,2
2020-07-06,2,45,2,27,0,2
2020-07-08,1,46,1,28,0,2
2020-07-09,2,48,4,32,0,2
2020-07-10,0,48,3,35,0,2
