dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-10,1,1,0,0,0,0
2020-04-14,3,4,0,0,0,0
2020-04-16,1,5,0,0,0,0
2020-04-18,1,6,0,0,0,0
2020-04-29,0,6,3,3,0,0
2020-05-01,1,7,2,5,1,1
2020-05-06,1,8,0,5,0,1
2020-05-15,0,8,1,6,0,1
2020-05-21,1,9,0,6,0,1
2020-06-02,0,9,1,7,0,1
2020-06-03,2,11,0,7,0,1
2020-06-06,20,31,0,7,0,1
2020-06-07,7,38,0,7,0,1
2020-06-09,0,38,0,7,1,2
2020-06-10,0,38,0,7,1,3
2020-06-12,5,43,0,7,0,3
2020-06-14,3,46,0,7,0,3
2020-06-16,1,47,18,25,0,3
2020-06-19,1,48,1,26,0,3
2020-06-20,0,48,9,35,0,3
2020-06-21,0,48,1,36,0,3
2020-06-22,1,49,0,36,0,3
2020-06-23,4,53,1,37,0,3
2020-06-25,1,54,3,40,0,3
2020-06-26,2,56,3,43,0,3
2020-06-27,2,58,0,43,0,3
2020-06-28,3,61,0,43,0,3
2020-06-29,1,62,0,43,0,3
2020-07-01,1,63,0,43,0,3
2020-07-02,1,64,4,47,0,3
2020-07-03,1,65,2,49,0,3
2020-07-04,3,68,0,49,0,3
2020-07-05,1,69,0,49,0,3
2020-07-06,1,70,0,49,0,3
2020-07-07,1,71,1,50,0,3
2020-07-08,4,75,3,53,0,3
2020-07-09,8,83,0,53,0,3
2020-07-10,11,94,1,54,0,3
