dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-19,1,1,0,0,0,0
2020-05-22,6,7,0,0,0,0
2020-05-26,4,11,0,0,0,0
2020-06-03,0,11,1,1,0,0
2020-06-06,1,12,6,7,0,0
2020-06-08,0,12,4,11,0,0
2020-06-18,0,12,1,12,0,0
2020-06-20,1,13,0,12,0,0
2020-06-22,2,15,0,12,0,0
2020-06-23,1,16,0,12,0,0
2020-07-01,0,16,1,13,0,0
2020-07-02,1,17,0,13,0,0
2020-07-03,2,19,0,13,0,0
2020-07-04,1,20,0,13,0,0
2020-07-05,0,20,1,14,0,0
2020-07-07,1,21,0,14,0,0
2020-07-08,6,27,0,14,0,0
2020-07-10,1,28,0,14,0,0
