dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-14,1,1,0,0,0,0
2020-04-23,1,2,0,0,0,0
2020-05-05,1,3,0,0,0,0
2020-05-09,0,3,2,2,0,0
2020-05-14,0,3,1,3,0,0
2020-05-16,2,5,0,3,0,0
2020-05-19,1,6,0,3,0,0
2020-05-26,0,6,1,4,0,0
2020-05-28,3,9,0,4,0,0
2020-05-31,0,9,2,6,0,0
2020-06-01,2,11,0,6,0,0
2020-06-04,4,15,0,6,1,1
2020-06-06,0,15,1,7,0,1
2020-06-09,1,16,0,7,0,1
2020-06-11,3,19,0,7,0,1
2020-06-13,1,20,0,7,0,1
2020-06-14,2,22,0,7,0,1
2020-06-15,0,22,1,8,0,1
2020-06-16,0,22,4,12,0,1
2020-06-22,7,29,2,14,0,1
2020-06-24,1,30,0,14,0,1
2020-06-26,2,32,3,17,0,1
2020-06-27,2,34,0,17,0,1
2020-06-28,3,37,0,17,0,1
2020-06-29,1,38,0,17,0,1
2020-06-30,4,42,0,17,0,1
2020-07-01,3,45,0,17,0,1
2020-07-02,0,45,3,20,0,1
2020-07-03,3,48,0,20,0,1
2020-07-04,6,54,3,23,0,1
2020-07-05,9,63,0,23,0,1
2020-07-06,4,67,3,26,1,2
2020-07-07,7,74,0,26,1,3
2020-07-08,6,80,1,27,1,4
2020-07-09,17,97,1,28,0,4
2020-07-10,4,101,11,39,1,5
