dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-04-09,1,2,0,0,0,0
2020-04-10,2,4,0,0,0,0
2020-04-11,9,13,0,0,0,0
2020-05-15,1,14,0,0,0,0
2020-05-17,1,15,0,0,0,0
2020-05-20,1,16,0,0,0,0
2020-05-22,1,17,0,0,0,0
2020-05-24,1,18,0,0,0,0
2020-05-25,2,20,0,0,0,0
2020-05-26,0,20,2,2,0,0
2020-05-29,0,20,1,3,0,0
2020-05-31,7,27,1,4,0,0
2020-06-01,2,29,0,4,0,0
2020-06-02,0,29,1,5,0,0
2020-06-03,2,31,1,6,0,0
2020-06-04,4,35,1,7,0,0
2020-06-05,1,36,0,7,0,0
2020-06-06,1,37,0,7,0,0
2020-06-10,0,37,4,11,0,0
2020-06-11,0,37,3,14,0,0
2020-06-13,3,40,6,20,0,0
2020-06-15,0,40,1,21,0,0
2020-06-16,0,40,1,22,0,0
2020-06-20,2,42,1,23,0,0
2020-06-23,0,42,3,26,0,0
2020-06-25,1,43,0,26,0,0
2020-06-26,1,44,0,26,0,0
2020-06-29,1,45,1,27,0,0
2020-07-01,5,50,0,27,0,0
2020-07-02,1,51,0,27,0,0
2020-07-03,2,53,1,28,0,0
2020-07-04,3,56,0,28,0,0
2020-07-05,2,58,0,28,0,0
2020-07-06,5,63,0,28,0,0
2020-07-07,4,67,0,28,0,0
2020-07-08,1,68,0,28,0,0
2020-07-09,5,73,0,28,0,0
2020-07-10,3,76,1,29,0,0
