dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-15,1,1,0,0,0,0
2020-03-30,0,1,1,1,0,0
2020-04-02,2,3,0,1,0,0
2020-04-05,4,7,0,1,1,1
2020-04-06,3,10,0,1,0,1
2020-04-07,3,13,0,1,0,1
2020-04-09,4,17,0,1,0,1
2020-04-11,2,19,0,1,0,1
2020-04-13,4,23,0,1,0,1
2020-04-14,0,23,0,1,1,2
2020-04-16,5,28,0,1,0,2
2020-04-18,1,29,0,1,1,3
2020-04-19,1,30,0,1,0,3
2020-04-21,1,31,0,1,0,3
2020-04-22,3,34,0,1,2,5
2020-04-23,1,35,0,1,0,5
2020-04-24,1,36,0,1,0,5
2020-04-25,1,37,0,1,0,5
2020-04-27,2,39,0,1,1,6
2020-04-28,38,77,0,1,0,6
2020-04-29,15,92,0,1,1,7
2020-04-30,26,118,0,1,0,7
2020-05-01,30,148,0,1,1,8
2020-05-02,59,207,0,1,1,9
2020-05-03,24,231,0,1,0,9
2020-05-04,69,300,0,1,1,10
2020-05-05,27,327,0,1,1,11
2020-05-06,33,360,2,3,0,11
2020-05-07,27,387,7,10,1,12
2020-05-08,23,410,0,10,0,12
2020-05-09,19,429,0,10,0,12
2020-05-10,126,555,21,31,1,13
2020-05-11,16,571,43,74,1,14
2020-05-12,69,640,0,74,1,15
2020-05-13,27,667,45,119,2,17
2020-05-14,36,703,14,133,2,19
2020-05-15,62,765,75,208,1,20
2020-05-16,95,860,31,239,5,25
2020-05-17,66,926,11,250,6,31
2020-05-18,35,961,27,277,2,33
2020-05-19,54,1015,31,308,1,34
2020-05-20,54,1069,82,390,2,36
2020-05-21,44,1113,25,415,3,39
2020-05-22,61,1174,108,523,3,42
2020-05-23,32,1206,26,549,0,42
2020-05-24,37,1243,27,576,4,46
2020-05-25,33,1276,94,670,2,48
2020-05-26,21,1297,52,722,5,53
2020-05-27,25,1322,50,772,4,57
2020-05-28,35,1357,86,858,3,60
2020-05-29,40,1397,80,938,5,65
2020-05-30,52,1449,27,965,0,65
2020-05-31,39,1488,0,965,0,65
2020-06-01,42,1530,26,991,3,68
2020-06-02,49,1579,48,1039,0,68
2020-06-03,61,1640,35,1074,16,84
2020-06-04,61,1701,24,1098,5,89
2020-06-05,67,1768,29,1127,1,90
2020-06-06,80,1848,33,1160,2,92
2020-06-07,104,1952,8,1168,0,92
2020-06-08,71,2023,42,1210,8,100
2020-06-09,49,2072,40,1250,10,110
2020-06-10,88,2160,12,1262,7,117
2020-06-11,133,2293,48,1310,6,123
2020-06-12,151,2444,29,1339,2,125
2020-06-13,103,2547,40,1379,3,128
2020-06-14,108,2655,55,1434,7,135
2020-06-15,118,2773,61,1495,0,135
2020-06-16,71,2844,57,1552,33,168
2020-06-17,103,2947,81,1633,0,168
2020-06-18,104,3051,22,1655,0,168
2020-06-19,100,3151,37,1692,8,176
2020-06-20,109,3260,74,1766,-3,173
2020-06-21,127,3387,93,1859,1,174
2020-06-22,164,3551,41,1900,4,178
2020-06-23,122,3673,61,1961,23,201
2020-06-24,181,3854,10,1971,0,201
2020-06-25,217,4071,58,2029,10,211
2020-06-26,270,4341,76,2105,15,226
2020-06-27,232,4573,41,2146,1,227
2020-06-28,247,4820,55,2201,0,227
2020-06-29,274,5094,74,2275,12,239
2020-06-30,221,5315,53,2328,17,256
2020-07-01,323,5638,111,2439,0,256
2020-07-02,195,5833,77,2516,15,271
2020-07-03,215,6048,77,2593,6,277
2020-07-04,210,6258,89,2682,6,283
2020-07-05,297,6555,85,2767,11,294
2020-07-06,244,6799,218,2985,7,301
2020-07-07,190,6989,184,3169,5,306
2020-07-08,195,7184,95,3264,8,314
2020-07-09,216,7400,123,3387,0,314
2020-07-10,278,7678,154,3541,9,323
