dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-27,1,1,0,0,0,0
2020-05-15,0,1,1,1,0,0
2020-05-17,2,3,0,1,0,0
2020-05-19,4,7,0,1,0,0
2020-05-21,2,9,0,1,0,0
2020-05-24,1,10,0,1,0,0
2020-05-25,4,14,0,1,0,0
2020-05-27,5,19,0,1,0,0
2020-05-28,1,20,0,1,0,0
2020-05-29,5,25,0,1,0,0
2020-05-30,4,29,0,1,0,0
2020-05-31,3,32,8,9,0,0
2020-06-03,5,37,3,12,0,0
2020-06-04,1,38,2,14,0,0
2020-06-06,1,39,4,18,0,0
2020-06-07,0,39,6,24,0,0
2020-06-08,2,41,0,24,0,0
2020-06-09,1,42,0,24,0,0
2020-06-10,0,42,7,31,0,0
2020-06-11,4,46,0,31,0,0
2020-06-12,1,47,0,31,0,0
2020-06-13,2,49,7,38,0,0
2020-06-14,0,49,3,41,0,0
2020-06-15,1,50,0,41,0,0
2020-06-16,1,51,0,41,0,0
2020-06-17,2,53,0,41,0,0
2020-06-18,5,58,0,41,0,0
2020-06-19,13,71,0,41,0,0
2020-06-20,0,71,8,49,0,0
2020-06-21,4,75,0,49,0,0
2020-06-22,2,77,0,49,0,0
2020-06-25,2,79,2,51,0,0
2020-06-26,0,79,5,56,0,0
2020-06-27,0,79,2,58,0,0
2020-06-30,1,80,13,71,0,0
2020-07-01,7,87,4,75,0,0
2020-07-03,0,87,2,77,0,0
2020-07-04,2,89,0,77,0,0
2020-07-05,2,91,0,77,0,0
2020-07-06,3,94,1,78,0,0
2020-07-07,1,95,2,80,0,0
2020-07-08,3,98,0,80,0,0
2020-07-09,1,99,0,80,0,0
2020-07-10,49,148,2,82,0,0
